timestamp,device_name,imu_acc_x,imu_acc_y,imu_acc_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,qua_w,qua_x,qua_y,qua_z,glb_angle_x,glb_angle_y,glb_angle_z,glb_acc_x,glb_acc_y,glb_acc_z,glb_gyro_x,glb_gyro_y,glb_gyro_z,imu_angle_x,imu_angle_y,imu_angle_z,norm_time
2025-5-24 12:57:46:920,WTGSB-A6,-1.1523687150991866,-9.513834625311224,0.5403160258137627,0.39229259518250714,11.432099522411923,-11.595373595553239,0.62833,-0.5257,0.44342,-0.36346,-87.04,10.22,-68.92,0.08964014943143583,-1.747590402869836,10.675578302598417,-12.9075846128613,-1.9924875368630985,-11.606562065487601,-27.171183399544,70.439144212118,-82.02155333918802,2025-05-24 12:57:46:920
2025-5-24 12:57:46:920,WTGSB-A6,-1.1859961612561796,-9.390361125108239,0.5435812453600161,0.16134478796241228,11.001649681888743,-11.423729991089019,0.62833,-0.5257,0.44342,-0.36346,-87.04,10.15,-68.92,0.4066959377020076,-0.30407500073229965,8.278050383710738,-11.222953903706198,-2.932376172203999,-12.4191745322523,-27.10657637933201,70.42633727645898,-82.04523400988002,2025-05-24 12:57:46:920
2025-5-24 12:57:46:920,WTGSB-A6,-1.2859261982026007,-9.235634084292347,0.5301513892676282,-0.051967064033895824,10.517462713961503,-11.153248730109047,0.62833,-0.5257,0.44342,-0.36346,-87.04,10.1,-68.92,0.1867386092508081,-0.7689456855355239,11.02636089795247,-9.588832668185898,-0.41511316794119857,-10.290194080202502,-27.060428507752,70.41718946527399,-82.06214877466002,2025-05-24 12:57:46:920
2025-5-24 12:57:46:920,WTGSB-A6,-1.4203940403935593,-9.089090626345877,0.4914323955159615,-0.25531398662885163,9.981492033184553,-10.863624140765987,0.62833,-0.5257,0.44342,-0.36346,-87.04,10.05,-68.91,0.5838553739038037,-0.0870426518430989,7.648458134121885,-9.898971112775698,-2.390084360024498,-10.5927624059557,-27.016031499503995,70.39821208380499,-82.07852433969902,2025-05-24 12:57:46:920
2025-5-24 12:57:46:920,WTGSB-A6,-1.5487306264288407,-8.99123820728223,0.4247614741028009,-0.45630822142835464,9.39866730578836,-10.6147009558543,0.62833,-0.5257,0.44342,-0.36346,-87.05000000000001,10.0,-68.9,-0.5282533911115332,0.9889404892818225,8.816977517130645,-8.777822842862697,-0.9627490483369003,-9.6543994901206,-26.975058837364998,70.37932936377999,-82.10429360495002,2025-05-24 12:57:46:920
2025-5-24 12:57:46:920,WTGSB-A6,-1.6361624402358748,-8.962712383316429,0.33624325290035983,-0.6543597027343285,8.773828664868809,-10.422231092028108,0.62833,-0.5257,0.44342,-0.36346,-87.06,9.95,-68.89,0.06799733754993253,0.4202160679799585,8.725328408233892,-9.044764106906497,-1.010814601327998,-9.2264727800238,-26.934086175225993,70.36044664375498,-82.13006287020102,2025-05-24 12:57:46:920
2025-5-24 12:57:46:920,WTGSB-A6,-1.6665719606012173,-8.994074977739881,0.23986645953838406,-0.8401390365998032,8.111950126614166,-10.251839984951882,0.62833,-0.5257,0.44342,-0.36346,-87.07,9.9,-68.87,-0.18963840535914533,-0.442837828343694,9.355145012323625,-10.7195885203861,-0.9513397290482999,-7.585133656798302,-26.894864376419008,70.331734353446,-82.155292935711,2025-05-24 12:57:46:920
2025-5-24 12:57:46:920,WTGSB-A6,-1.639916193770807,-9.060498771181182,0.15377008211162227,-1.0097815696795482,7.413112076320714,-10.033971364641404,0.62833,-0.5257,0.44342,-0.36346,-87.08,9.84,-68.85,-1.100835634033701,0.35160722321550386,9.88084015667905,-10.101731465589097,-0.3117881507347988,-7.658174655583001,-26.846413003296007,70.30119250089999,-82.18390595417702,2025-05-24 12:57:46:920
2025-5-24 12:57:46:921,WTGSB-A6,-1.5677268643097746,-9.140376089507829,0.09226998879252836,-1.1771797395974424,6.669770965876652,-9.691537428657773,0.62833,-0.5257,0.44342,-0.36346,-87.08,9.79,-68.83,-0.40246658145160197,0.3746189720014459,8.661526036504407,-9.5088370138259,-2.1233009429363987,-7.752885601487902,-26.80376685838,70.27238554914699,-82.199742319475,2025-05-24 12:57:46:921
2025-5-24 12:57:46:921,WTGSB-A6,-1.4766524405128667,-9.217437647702521,0.0611438736156189,-1.3638231763416835,5.876698483882747,-9.161191447367548,0.62833,-0.5257,0.44342,-0.36346,-87.09,9.74,-68.8,-0.05595375033645311,-0.9732244978382836,9.444650385419987,-10.6413227806202,-1.4217527956887004,-5.997261272970701,-26.766295922904995,70.23384368855399,-82.22443318524401,2025-05-24 12:57:46:921
