timestamp,device_name,imu_acc_x,imu_acc_y,imu_acc_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,qua_w,qua_x,qua_y,qua_z,glb_angle_x,glb_angle_y,glb_angle_z,glb_acc_x,glb_acc_y,glb_acc_z,glb_gyro_x,glb_gyro_y,glb_gyro_z,imu_angle_x,imu_angle_y,imu_angle_z,norm_time
2025-5-24 13:23:22:898,WTGSB-A6,-2.6220956602568832,-7.602696570324697,1.6678953520922999,-29.467035536154494,-41.78032257293408,-20.587570306315808,0.79248,-0.59897,0.08157,0.08038,-75.5,13.71,3.44,-1.6579751798342686,-0.5925321414606937,6.804920340785241,-19.070527703800998,-31.685474485645795,41.744046271933406,-73.881487168646,17.46974389428,11.629765693483996,2025-05-24 13:23:22:898
2025-5-24 13:23:22:898,WTGSB-A6,-2.9486313025069557,-8.330082243965022,1.263599062064993,-30.46731707085939,-38.41848077025674,-23.316629573808438,0.79248,-0.59897,0.08157,0.08038,-75.65,13.56,3.55,1.4108885249891974,-0.49893851411678103,11.414037940375401,-22.496340682216598,-34.635566771692595,38.198897729188,-74.05680420328001,17.36010798759,11.510045319913996,2025-05-24 13:23:22:898
2025-5-24 13:23:22:898,WTGSB-A6,-3.201875469048567,-9.116820929869458,0.7810316506388238,-31.256799827999075,-34.92163316267058,-24.736258416011125,0.79248,-0.59897,0.08157,0.08038,-75.79,13.39,3.64,-3.3456654641734564,-0.10581849251850084,11.319919454504003,-23.564386649280394,-37.6021441484876,32.387312392553795,-74.21846663818599,17.261556492154,11.366024424976,2025-05-24 13:23:22:898
2025-5-24 13:23:22:899,WTGSB-A6,-3.3204801340520245,-9.914664380972425,0.2457654985383793,-31.73092666985312,-31.472009269069872,-24.56851795395605,0.79248,-0.59897,0.08157,0.08038,-75.94,13.22,3.7000000000000006,-3.6332266959593693,-1.6530192042484324,9.310043621514419,-25.860174593978808,-36.1300859373014,28.083256830941203,-74.38309855498,17.193343056163997,11.213601579268001,2025-05-24 13:23:22:899
2025-5-24 13:23:22:899,WTGSB-A6,-3.30602043441814,-10.693724372556233,-0.25201948920002437,-31.81940737730208,-28.258762418442856,-22.670989431362393,0.79248,-0.59897,0.08157,0.08038,-76.11,13.08,3.73,-1.5668264204097564,-2.6389767169390352,8.31996493454168,-28.332872741825994,-34.028025624311596,24.720691721521,-74.55954621011199,17.165802396425995,11.081320535621998,2025-05-24 13:23:22:899
2025-5-24 13:23:22:899,WTGSB-A6,-3.234268787608597,-11.38898209941873,-0.593164815960145,-31.515917028555346,-25.420272722133095,-19.08823956437942,0.79248,-0.59897,0.08157,0.08038,-76.28,12.96,3.76,1.2443806916086226,-8.162879926860757,12.903289825035662,-28.935069434925598,-29.0472599692362,24.669351957060805,-74.735400202864,17.143650780888002,10.968288625664,2025-05-24 13:23:22:899
2025-5-24 13:23:22:899,WTGSB-A6,-3.2001494104009405,-11.921815402350294,-0.6994124501902013,-30.908541418161267,-23.018121389725582,-14.059018654394055,0.79248,-0.59897,0.08157,0.08038,-76.44,12.87,3.8,2.5546691544605125,-5.904008686779908,14.683568320818775,-23.896476519755602,-22.359936350564396,23.492280535071398,-74.90288270807001,17.117969278163997,10.887151031628001,2025-05-24 13:23:22:899
2025-5-24 13:23:22:899,WTGSB-A6,-3.2463875708836594,-12.282890425899739,-0.5725403467918041,-30.149868261765118,-21.055487910785097,-7.985924116420605,0.79248,-0.59897,0.08157,0.08038,-76.58,12.82,3.8300000000000005,1.2770096628680219,-1.2539032917187471,9.867507044877978,-22.145590188833005,-15.723653975068999,23.807609574251998,-75.04744863243198,17.107925865807996,10.842480932677999,2025-05-24 13:23:22:899
2025-5-24 13:23:22:901,WTRIGHT,3.2348568707127336,-8.676046668433248,3.6210826680460997,0.4583270037479153,-41.19931646663261,46.44413506459685,-0.47299,0.55029,-0.41827,0.54626,-87.63,-9.7,275.71,3.414700762415325,-0.42045465454836295,8.518653832517831,45.1762099668301,11.365685579434897,41.4516982927421,-12.507095504748996,79.41754298795799,-91.71159688496499,2025-05-24 13:23:22:901
2025-5-24 13:23:22:901,WTRIGHT,2.835961654389092,-9.53827453280169,4.1993901306117465,-0.8477641663241738,-38.05767262626319,45.33347365419807,-0.47299,0.55029,-0.41827,0.54626,-87.66,-9.43,275.9,1.8471531554395029,-1.1387388137145709,8.085565100626152,48.323833204435495,12.987671278364402,38.5511563808034,-12.733455363059996,79.17543119718898,-91.715905949568,2025-05-24 13:23:22:901
