时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	四元数0()	四元数1()	四元数2()	四元数3()	温度(°C)	版本号()	电量(%)
2025-5-24 12:49:7:174	WTRIGHT(D0:74:13:DA:DA:8C)	0.956	0.060	0.332	0.427	0.122	-0.244	9.54	-70.86	-122.24	-48.118	-24.010	39.200	0.43655	-0.47064	-0.34070	-0.68683	4.8	13111	75
2025-5-24 12:49:7:174	WTRIGHT(D0:74:13:DA:DA:8C)	0.917	0.058	0.332	0.488	0.122	-0.061	9.55	-70.86	-122.24	-48.118	-24.010	39.200	0.43655	-0.47064	-0.34070	-0.68683	4.8	13111	75
2025-5-24 12:49:7:174	WTRIGHT(D0:74:13:DA:DA:8C)	0.712	0.031	0.336	0.000	0.000	0.000	9.55	-70.86	-122.24	-48.118	-24.010	39.200	0.43655	-0.47064	-0.34070	-0.68683	4.8	13111	75
2025-5-24 12:49:7:174	WTRIGHT(D0:74:13:DA:DA:8C)	1.058	-0.072	0.242	-5.005	7.690	0.183	9.49	-70.82	-122.21	-48.118	-24.010	39.200	0.43655	-0.47064	-0.34070	-0.68683	4.8	13111	75
2025-5-24 12:49:7:174	WTRIGHT(D0:74:13:DA:DA:8C)	1.097	0.116	0.439	1.099	-0.732	-3.113	9.54	-70.82	-122.26	-48.118	-24.010	39.200	0.43655	-0.47064	-0.34070	-0.68683	4.8	13111	75
2025-5-24 12:49:7:174	WTRIGHT(D0:74:13:DA:DA:8C)	1.034	0.018	0.262	0.244	0.366	-1.038	9.55	-70.82	-122.27	-48.118	-24.010	39.200	0.43655	-0.47064	-0.34070	-0.68683	4.8	13111	75
2025-5-24 12:49:7:174	WTRIGHT(D0:74:13:DA:DA:8C)	0.918	0.050	0.274	-0.549	-0.183	0.244	9.55	-70.82	-122.27	-48.118	-24.010	39.200	0.43655	-0.47064	-0.34070	-0.68683	4.8	13111	75
2025-5-24 12:49:7:174	WTRIGHT(D0:74:13:DA:DA:8C)	0.928	0.069	0.354	0.610	0.000	0.183	9.54	-70.82	-122.26	-48.118	-24.010	39.200	0.43655	-0.47064	-0.34070	-0.68683	4.8	13111	75
2025-5-24 12:49:7:174	WTRIGHT(D0:74:13:DA:DA:8C)	0.938	0.043	0.344	0.549	0.488	-0.061	9.54	-70.82	-122.26	-48.118	-24.010	39.200	0.43655	-0.47064	-0.34070	-0.68683	4.8	13111	75
2025-5-24 12:49:7:174	WTRIGHT(D0:74:13:DA:DA:8C)	0.958	0.042	0.328	0.488	0.549	-0.366	9.54	-70.82	-122.26	-48.118	-24.010	39.200	0.43655	-0.47064	-0.34070	-0.68683	4.8	13111	75
2025-5-24 12:49:7:174	WTRIGHT(D0:74:13:DA:DA:8C)	0.962	0.088	0.338	0.488	0.244	-0.610	9.55	-70.82	-122.27	-48.118	-24.010	39.200	0.43655	-0.47064	-0.34070	-0.68683	4.8	13111	75
2025-5-24 12:49:7:174	WTRIGHT(D0:74:13:DA:DA:8C)	0.949	0.045	0.327	0.427	0.427	-0.366	9.56	-70.82	-122.27	-48.118	-24.010	39.200	0.43655	-0.47064	-0.34070	-0.68683	4.8	13111	75
2025-5-24 12:49:7:174	WTRIGHT(D0:74:13:DA:DA:8C)	0.952	0.055	0.323	0.427	0.366	0.061	9.55	-70.81	-122.27	-48.118	-24.010	39.200	0.43655	-0.47064	-0.34070	-0.68683	4.8	13111	75
2025-5-24 12:49:7:174	WTRIGHT(D0:74:13:DA:DA:8C)	0.956	0.050	0.322	0.427	0.488	-0.183	9.55	-70.81	-122.27	-48.118	-24.010	39.200	0.43655	-0.47064	-0.34070	-0.68683	4.8	13111	75
2025-5-24 12:49:7:174	WTRIGHT(D0:74:13:DA:DA:8C)	0.957	0.055	0.332	0.793	0.610	0.000	9.55	-70.81	-122.27	-48.118	-24.010	39.200	0.43655	-0.47064	-0.34070	-0.68683	4.8	13111	75
