时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	四元数0()	四元数1()	四元数2()	四元数3()	温度(°C)	版本号()	电量(%)
2025-5-24 12:49:56:738	WTGSB-A6(C3:11:EA:D7:53:77)	-0.941	0.182	0.309	-0.061	0.000	0.000	29.14	70.30	-150.92	-48.412	-32.928	16.464	-0.05905	-0.58298	0.06760	0.80746	3.7	13111	40
2025-5-24 12:49:56:738	WTGSB-A6(C3:11:EA:D7:53:77)	-0.945	0.182	0.310	-0.122	0.061	0.000	29.14	70.30	-150.93	-48.412	-32.928	16.464	-0.05905	-0.58298	0.06760	0.80746	3.7	13111	40
2025-5-24 12:49:56:738	WTGSB-A6(C3:11:EA:D7:53:77)	-0.942	0.180	0.304	-0.183	0.000	0.000	29.14	70.30	-150.93	-48.412	-32.928	16.464	-0.05905	-0.58298	0.06760	0.80746	3.7	13111	40
2025-5-24 12:49:56:738	WTGSB-A6(C3:11:EA:D7:53:77)	-0.938	0.180	0.308	0.000	0.122	0.000	29.14	70.30	-150.94	-48.412	-32.928	16.464	-0.05905	-0.58298	0.06760	0.80746	3.7	13111	40
2025-5-24 12:49:56:738	WTGSB-A6(C3:11:EA:D7:53:77)	-0.936	0.178	0.306	-0.061	0.000	0.000	29.14	70.30	-150.94	-48.412	-32.928	16.464	-0.05905	-0.58298	0.06760	0.80746	3.7	13111	40
2025-5-24 12:49:56:738	WTGSB-A6(C3:11:EA:D7:53:77)	-0.936	0.177	0.306	-0.122	0.122	0.000	29.14	70.30	-150.94	-48.412	-32.928	16.464	-0.05905	-0.58298	0.06760	0.80746	3.7	13111	40
2025-5-24 12:49:56:738	WTGSB-A6(C3:11:EA:D7:53:77)	-0.935	0.179	0.311	0.000	0.000	0.000	29.14	70.30	-150.94	-48.412	-32.928	16.464	-0.05905	-0.58298	0.06760	0.80746	3.7	13111	40
2025-5-24 12:49:56:738	WTGSB-A6(C3:11:EA:D7:53:77)	-0.935	0.180	0.307	-0.305	0.061	0.000	29.14	70.30	-150.95	-48.412	-32.928	16.464	-0.05905	-0.58298	0.06760	0.80746	3.7	13111	40
2025-5-24 12:49:56:738	WTGSB-A6(C3:11:EA:D7:53:77)	-0.938	0.177	0.312	-0.122	0.000	0.000	29.14	70.30	-150.95	-48.412	-32.928	16.464	-0.05905	-0.58298	0.06760	0.80746	3.7	13111	40
2025-5-24 12:49:56:738	WTGSB-A6(C3:11:EA:D7:53:77)	-0.937	0.178	0.309	-0.061	0.000	0.000	29.14	70.30	-150.95	-48.412	-32.928	16.464	-0.05905	-0.58298	0.06760	0.80746	3.7	13111	40
