时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	四元数0()	四元数1()	四元数2()	四元数3()	温度(°C)	版本号()	电量(%)
2025-5-24 12:57:35:988	WTRIGHT(D0:74:13:DA:DA:8C)	0.038	-1.005	0.033	0.916	0.183	-1.160	-88.78	-1.35	103.44	5.880	23.520	-2.156	0.44894	-0.42831	-0.55029	0.55862	4.8	13111	60
2025-5-24 12:57:35:988	WTRIGHT(D0:74:13:DA:DA:8C)	0.037	-1.001	0.032	0.671	-0.061	-0.977	-88.78	-1.35	103.45	5.880	23.520	-2.156	0.44894	-0.42831	-0.55029	0.55862	4.8	13111	60
2025-5-24 12:57:35:988	WTRIGHT(D0:74:13:DA:DA:8C)	0.030	-1.005	0.030	0.488	0.000	-0.854	-88.78	-1.35	103.45	5.880	23.520	-2.156	0.44894	-0.42831	-0.55029	0.55862	4.8	13111	60
2025-5-24 12:57:35:988	WTRIGHT(D0:74:13:DA:DA:8C)	0.025	-1.004	0.033	0.366	0.061	-0.549	-88.78	-1.36	103.45	5.880	23.520	-2.156	0.44894	-0.42831	-0.55029	0.55862	4.8	13111	60
2025-5-24 12:57:35:988	WTRIGHT(D0:74:13:DA:DA:8C)	0.029	-1.004	0.028	0.427	0.000	-0.793	-88.78	-1.36	103.45	5.880	23.520	-2.156	0.44894	-0.42831	-0.55029	0.55862	4.8	13111	60
2025-5-24 12:57:35:988	WTRIGHT(D0:74:13:DA:DA:8C)	0.032	-1.002	0.027	0.305	0.000	-0.854	-88.77	-1.37	103.46	5.880	23.520	-2.156	0.44894	-0.42831	-0.55029	0.55862	4.8	13111	60
2025-5-24 12:57:35:988	WTRIGHT(D0:74:13:DA:DA:8C)	0.031	-1.008	0.026	0.244	-0.061	-0.549	-88.77	-1.37	103.46	5.880	23.520	-2.156	0.44894	-0.42831	-0.55029	0.55862	4.8	13111	60
2025-5-24 12:57:35:988	WTRIGHT(D0:74:13:DA:DA:8C)	0.036	-1.003	0.023	0.122	0.000	-0.427	-88.77	-1.37	103.46	5.880	23.520	-2.156	0.44894	-0.42831	-0.55029	0.55862	4.8	13111	60
2025-5-24 12:57:36:4	WTGSB-A6(C3:11:EA:D7:53:77)	-0.097	-0.987	0.141	0.122	-0.183	0.488	-82.35	5.77	-37.52	-70.952	19.404	88.984	0.72327	-0.61023	0.23636	-0.22028	4.7	13111	50
2025-5-24 12:57:36:4	WTGSB-A6(C3:11:EA:D7:53:77)	-0.100	-0.990	0.136	0.183	-0.488	0.244	-82.34	5.78	-37.52	-70.952	19.404	88.984	0.72327	-0.61023	0.23636	-0.22028	4.7	13111	50
2025-5-24 12:57:36:4	WTGSB-A6(C3:11:EA:D7:53:77)	-0.094	-0.984	0.137	0.244	-0.427	0.000	-82.34	5.78	-37.52	-70.952	19.404	88.984	0.72327	-0.61023	0.23636	-0.22028	4.7	13111	50
2025-5-24 12:57:36:4	WTGSB-A6(C3:11:EA:D7:53:77)	-0.088	-0.987	0.135	0.427	-0.488	-0.366	-82.34	5.77	-37.51	-70.952	19.404	88.984	0.72327	-0.61023	0.23636	-0.22028	4.7	13111	50
2025-5-24 12:57:36:4	WTGSB-A6(C3:11:EA:D7:53:77)	-0.083	-0.984	0.141	0.427	-0.305	-0.488	-82.34	5.77	-37.52	-70.952	19.404	88.984	0.72327	-0.61023	0.23636	-0.22028	4.7	13111	50
2025-5-24 12:57:36:4	WTGSB-A6(C3:11:EA:D7:53:77)	-0.084	-0.988	0.140	0.244	-0.305	-0.549	-82.34	5.77	-37.52	-70.952	19.404	88.984	0.72327	-0.61023	0.23636	-0.22028	4.7	13111	50
2025-5-24 12:57:36:4	WTGSB-A6(C3:11:EA:D7:53:77)	-0.082	-0.987	0.137	0.305	-0.244	-0.671	-82.34	5.77	-37.52	-70.952	19.404	88.984	0.72327	-0.61023	0.23636	-0.22028	4.7	13111	50
2025-5-24 12:57:36:4	WTGSB-A6(C3:11:EA:D7:53:77)	-0.085	-0.992	0.135	0.305	-0.122	-0.793	-82.34	5.76	-37.52	-70.952	19.404	88.984	0.72327	-0.61023	0.23636	-0.22028	4.7	13111	50
2025-5-24 12:57:36:4	WTGSB-A6(C3:11:EA:D7:53:77)	-0.072	-0.983	0.145	0.427	-0.183	-0.977	-82.34	5.76	-37.52	-70.952	19.404	88.984	0.72327	-0.61023	0.23636	-0.22028	4.7	13111	50
2025-5-24 12:57:36:4	WTGSB-A6(C3:11:EA:D7:53:77)	-0.061	-0.984	0.142	0.244	-0.244	-1.038	-82.34	5.76	-37.52	-70.952	19.404	88.984	0.72327	-0.61023	0.23636	-0.22028	4.7	13111	50
2025-5-24 12:57:36:4	WTGSB-A6(C3:11:EA:D7:53:77)	-0.062	-0.988	0.146	0.427	-0.244	-0.854	-82.33	5.75	-37.52	-70.952	19.404	88.984	0.72327	-0.61023	0.23636	-0.22028	4.7	13111	50
2025-5-24 12:57:36:4	WTGSB-A6(C3:11:EA:D7:53:77)	-0.070	-0.985	0.147	0.244	-0.183	-0.793	-82.33	5.75	-37.52	-70.952	19.404	88.984	0.72327	-0.61023	0.23636	-0.22028	4.7	13111	50
