时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	四元数0()	四元数1()	四元数2()	四元数3()	温度(°C)	版本号()	电量(%)
2025-5-24 13:4:7:886	WTGSB-A6(C3:11:EA:D7:53:77)	-0.143	-0.978	0.068	0.122	0.061	0.244	-86.50	9.59	-33.64	-61.838	13.034	92.708	0.71310	-0.63498	0.24734	-0.16428	5.6	13111	50
2025-5-24 13:4:7:886	WTGSB-A6(C3:11:EA:D7:53:77)	-0.141	-0.981	0.073	0.183	-0.061	0.122	-86.50	9.59	-33.64	-61.838	13.034	92.708	0.71310	-0.63498	0.24734	-0.16428	5.6	13111	50
2025-5-24 13:4:7:886	WTGSB-A6(C3:11:EA:D7:53:77)	-0.141	-0.979	0.072	0.122	0.000	0.305	-86.50	9.59	-33.64	-61.838	13.034	92.708	0.71310	-0.63498	0.24734	-0.16428	5.6	13111	50
2025-5-24 13:4:7:886	WTGSB-A6(C3:11:EA:D7:53:77)	-0.139	-0.980	0.068	0.244	0.000	0.244	-86.50	9.59	-33.64	-61.838	13.034	92.708	0.71310	-0.63498	0.24734	-0.16428	5.6	13111	50
2025-5-24 13:4:7:886	WTGSB-A6(C3:11:EA:D7:53:77)	-0.142	-0.984	0.068	0.122	-0.061	0.427	-86.50	9.59	-33.64	-61.838	13.034	92.708	0.71310	-0.63498	0.24734	-0.16428	5.6	13111	50
2025-5-24 13:4:7:886	WTGSB-A6(C3:11:EA:D7:53:77)	-0.139	-0.982	0.070	0.122	0.000	0.366	-86.50	9.60	-33.63	-61.838	13.034	92.708	0.71310	-0.63498	0.24734	-0.16428	5.6	13111	50
2025-5-24 13:4:7:886	WTGSB-A6(C3:11:EA:D7:53:77)	-0.142	-0.982	0.068	0.122	0.000	0.366	-86.50	9.60	-33.63	-61.838	13.034	92.708	0.71310	-0.63498	0.24734	-0.16428	5.6	13111	50
2025-5-24 13:4:7:886	WTGSB-A6(C3:11:EA:D7:53:77)	-0.142	-0.982	0.068	0.183	0.000	0.427	-86.50	9.60	-33.63	-61.838	13.034	92.708	0.71310	-0.63498	0.24734	-0.16428	5.6	13111	50
2025-5-24 13:4:7:892	WTRIGHT(D0:74:13:DA:DA:8C)	0.090	-0.999	0.136	0.244	0.000	0.061	-82.56	-5.00	155.46	0.686	18.032	-7.546	-0.18988	0.10941	0.64728	-0.72998	5.6	13111	60
2025-5-24 13:4:7:893	WTRIGHT(D0:74:13:DA:DA:8C)	0.083	-0.996	0.138	0.183	0.000	0.000	-82.56	-5.00	155.47	0.686	18.032	-7.546	-0.18988	0.10941	0.64728	-0.72998	5.6	13111	60
2025-5-24 13:4:7:893	WTRIGHT(D0:74:13:DA:DA:8C)	0.085	-0.997	0.137	0.244	0.000	0.000	-82.56	-5.00	155.47	0.686	18.032	-7.546	-0.18988	0.10941	0.64728	-0.72998	5.6	13111	60
2025-5-24 13:4:7:893	WTRIGHT(D0:74:13:DA:DA:8C)	0.084	-0.995	0.138	0.305	0.061	0.000	-82.56	-5.00	155.47	0.686	18.032	-7.546	-0.18988	0.10941	0.64728	-0.72998	5.6	13111	60
2025-5-24 13:4:7:893	WTRIGHT(D0:74:13:DA:DA:8C)	0.080	-0.992	0.139	0.366	0.000	0.061	-82.56	-5.00	155.48	0.686	18.032	-7.546	-0.18988	0.10941	0.64728	-0.72998	5.6	13111	60
2025-5-24 13:4:7:893	WTRIGHT(D0:74:13:DA:DA:8C)	0.088	-0.994	0.140	0.305	-0.061	-0.305	-82.55	-5.00	155.48	0.686	18.032	-7.546	-0.18988	0.10941	0.64728	-0.72998	5.6	13111	60
2025-5-24 13:4:7:893	WTRIGHT(D0:74:13:DA:DA:8C)	0.080	-0.994	0.141	0.366	-0.061	-0.122	-82.55	-5.00	155.49	0.686	18.032	-7.546	-0.18988	0.10941	0.64728	-0.72998	5.6	13111	60
2025-5-24 13:4:7:893	WTRIGHT(D0:74:13:DA:DA:8C)	0.085	-0.992	0.143	0.366	-0.061	-0.305	-82.55	-5.00	155.49	0.686	18.032	-7.546	-0.18988	0.10941	0.64728	-0.72998	5.6	13111	60
2025-5-24 13:4:7:923	WTRIGHT(D0:74:13:DA:DA:8C)	0.083	-0.991	0.140	0.183	-0.061	-0.183	-82.55	-5.00	155.49	0.686	18.032	-7.546	-0.18988	0.10941	0.64728	-0.72998	5.6	13111	60
2025-5-24 13:4:7:923	WTRIGHT(D0:74:13:DA:DA:8C)	0.083	-0.995	0.139	0.366	-0.122	-0.488	-82.55	-5.01	155.50	0.686	18.032	-7.546	-0.18988	0.10941	0.64728	-0.72998	5.6	13111	60
2025-5-24 13:4:7:923	WTRIGHT(D0:74:13:DA:DA:8C)	0.086	-0.995	0.140	0.244	-0.183	-0.366	-82.55	-5.01	155.51	0.686	18.032	-7.546	-0.18988	0.10941	0.64728	-0.72998	5.6	13111	60
2025-5-24 13:4:7:923	WTRIGHT(D0:74:13:DA:DA:8C)	0.103	-0.993	0.142	0.183	0.000	-0.305	-82.55	-5.02	155.51	0.686	18.032	-7.546	-0.18988	0.10941	0.64728	-0.72998	5.6	13111	60
2025-5-24 13:4:7:923	WTRIGHT(D0:74:13:DA:DA:8C)	0.090	-0.997	0.140	0.366	-0.183	-0.488	-82.54	-5.02	155.51	0.686	18.032	-7.546	-0.18988	0.10941	0.64728	-0.72998	5.6	13111	60
2025-5-24 13:4:7:923	WTRIGHT(D0:74:13:DA:DA:8C)	0.089	-0.995	0.137	0.305	-0.061	-0.366	-82.54	-5.02	155.52	0.686	18.032	-7.546	-0.18988	0.10941	0.64728	-0.72998	5.6	13111	60
2025-5-24 13:4:7:923	WTRIGHT(D0:74:13:DA:DA:8C)	0.094	-0.996	0.137	0.305	-0.122	-0.732	-82.54	-5.02	155.52	0.686	18.032	-7.546	-0.18716	0.10751	0.64777	-0.73053	5.6	13111	60
2025-5-24 13:4:7:923	WTRIGHT(D0:74:13:DA:DA:8C)	0.087	-0.995	0.136	0.366	-0.122	-0.549	-82.53	-5.03	155.52	0.686	18.032	-7.546	-0.18716	0.10751	0.64777	-0.73053	5.6	13111	60
2025-5-24 13:4:7:952	WTGSB-A6(C3:11:EA:D7:53:77)	-0.140	-0.982	0.067	0.122	-0.122	0.366	-86.50	9.60	-33.63	-61.838	13.034	92.708	0.71310	-0.63498	0.24734	-0.16428	5.6	13111	50
2025-5-24 13:4:7:952	WTGSB-A6(C3:11:EA:D7:53:77)	-0.142	-0.981	0.069	0.244	-0.061	0.366	-86.50	9.60	-33.63	-61.838	13.034	92.708	0.71310	-0.63498	0.24734	-0.16428	5.6	13111	50
2025-5-24 13:4:7:952	WTGSB-A6(C3:11:EA:D7:53:77)	-0.143	-0.983	0.070	0.183	-0.061	0.488	-86.50	9.60	-33.63	-61.838	13.034	92.708	0.71310	-0.63498	0.24734	-0.16428	5.6	13111	50
2025-5-24 13:4:7:952	WTGSB-A6(C3:11:EA:D7:53:77)	-0.148	-0.983	0.072	0.244	-0.061	0.305	-86.50	9.60	-33.63	-61.838	13.034	92.708	0.71310	-0.63498	0.24734	-0.16428	5.6	13111	50
2025-5-24 13:4:7:952	WTGSB-A6(C3:11:EA:D7:53:77)	-0.141	-0.984	0.071	0.305	-0.122	0.305	-86.50	9.60	-33.63	-61.838	13.034	92.708	0.71310	-0.63498	0.24734	-0.16428	5.6	13111	50
2025-5-24 13:4:7:952	WTGSB-A6(C3:11:EA:D7:53:77)	-0.142	-0.980	0.075	0.244	-0.122	0.427	-86.50	9.61	-33.63	-61.838	13.034	92.708	0.71310	-0.63498	0.24734	-0.16428	5.6	13111	50
2025-5-24 13:4:7:952	WTGSB-A6(C3:11:EA:D7:53:77)	-0.142	-0.984	0.072	0.122	-0.183	0.244	-86.49	9.61	-33.63	-61.838	13.034	92.708	0.71310	-0.63498	0.24734	-0.16428	5.6	13111	50
2025-5-24 13:4:7:952	WTGSB-A6(C3:11:EA:D7:53:77)	-0.142	-0.980	0.068	0.122	0.000	0.305	-86.49	9.61	-33.63	-61.838	13.034	92.708	0.71310	-0.63498	0.24734	-0.16428	5.6	13111	50
