时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	四元数0()	四元数1()	四元数2()	四元数3()	温度(°C)	版本号()	电量(%)
2025-5-24 13:10:25:991	WTGSB-A6(C3:11:EA:D7:53:77)	-0.109	-0.986	0.056	0.488	0.000	0.732	-87.04	7.26	-36.58	-66.934	14.504	93.492	0.70230	-0.63596	0.25439	-0.19366	6.2	13111	40
2025-5-24 13:10:25:991	WTGSB-A6(C3:11:EA:D7:53:77)	-0.112	-0.986	0.062	0.427	0.122	0.549	-87.04	7.26	-36.58	-66.934	14.504	93.492	0.70230	-0.63596	0.25439	-0.19366	6.2	13111	40
2025-5-24 13:10:25:991	WTGSB-A6(C3:11:EA:D7:53:77)	-0.113	-0.984	0.066	0.244	0.061	0.671	-87.04	7.27	-36.58	-66.934	14.504	93.492	0.70239	-0.63712	0.25055	-0.19461	6.2	13111	40
2025-5-24 13:10:25:991	WTGSB-A6(C3:11:EA:D7:53:77)	-0.112	-0.988	0.062	0.488	0.000	0.732	-87.04	7.27	-36.57	-66.934	14.504	93.492	0.70239	-0.63712	0.25055	-0.19461	6.2	13111	40
2025-5-24 13:10:25:991	WTGSB-A6(C3:11:EA:D7:53:77)	-0.112	-0.986	0.064	0.122	0.061	0.427	-87.04	7.27	-36.57	-66.934	14.504	93.492	0.70239	-0.63712	0.25055	-0.19461	6.2	13111	40
2025-5-24 13:10:25:991	WTGSB-A6(C3:11:EA:D7:53:77)	-0.114	-0.988	0.061	0.061	0.000	0.488	-87.04	7.28	-36.57	-66.934	14.504	93.492	0.70239	-0.63712	0.25055	-0.19461	6.2	13111	40
2025-5-24 13:10:25:991	WTGSB-A6(C3:11:EA:D7:53:77)	-0.111	-0.988	0.060	0.305	0.122	0.366	-87.04	7.28	-36.57	-66.934	14.504	93.492	0.70239	-0.63712	0.25055	-0.19461	6.2	13111	40
2025-5-24 13:10:25:991	WTGSB-A6(C3:11:EA:D7:53:77)	-0.106	-0.988	0.060	0.244	0.061	0.305	-87.03	7.28	-36.56	-66.934	14.504	93.492	0.70239	-0.63712	0.25055	-0.19461	6.2	13111	40
2025-5-24 13:10:26:3	WTGSB-A6(C3:11:EA:D7:53:77)	-0.109	-0.984	0.060	0.244	0.000	0.366	-87.03	7.28	-36.56	-66.934	14.504	93.492	0.70239	-0.63712	0.25055	-0.19461	6.2	13111	40
2025-5-24 13:10:26:3	WTGSB-A6(C3:11:EA:D7:53:77)	-0.109	-0.986	0.064	0.183	0.244	0.366	-87.03	7.29	-36.56	-66.934	14.504	93.492	0.70239	-0.63712	0.25055	-0.19461	6.2	13111	40
2025-5-24 13:10:26:3	WTGSB-A6(C3:11:EA:D7:53:77)	-0.104	-0.989	0.063	0.000	0.000	0.305	-87.03	7.29	-36.56	-66.934	14.504	93.492	0.70239	-0.63712	0.25055	-0.19461	6.2	13111	40
2025-5-24 13:10:26:3	WTGSB-A6(C3:11:EA:D7:53:77)	-0.103	-0.983	0.063	0.122	0.244	0.366	-87.03	7.29	-36.55	-66.934	14.504	93.492	0.70239	-0.63712	0.25055	-0.19461	6.2	13111	40
2025-5-24 13:10:26:3	WTGSB-A6(C3:11:EA:D7:53:77)	-0.106	-0.985	0.063	0.000	0.061	0.366	-87.03	7.29	-36.55	-66.934	14.504	93.492	0.70239	-0.63712	0.25055	-0.19461	6.2	13111	40
2025-5-24 13:10:26:3	WTGSB-A6(C3:11:EA:D7:53:77)	-0.109	-0.987	0.060	0.000	0.000	0.549	-87.03	7.30	-36.55	-66.934	14.504	93.492	0.70239	-0.63712	0.25055	-0.19461	6.2	13111	40
2025-5-24 13:10:26:3	WTGSB-A6(C3:11:EA:D7:53:77)	-0.115	-0.986	0.059	0.000	0.000	0.549	-87.03	7.30	-36.55	-66.934	14.504	93.492	0.70239	-0.63712	0.25055	-0.19461	6.2	13111	40
2025-5-24 13:10:26:3	WTGSB-A6(C3:11:EA:D7:53:77)	-0.104	-0.984	0.065	0.000	-0.061	0.610	-87.03	7.31	-36.54	-66.934	14.504	93.492	0.70239	-0.63712	0.25055	-0.19461	6.2	13111	40
2025-5-24 13:10:26:19	WTRIGHT(D0:74:13:DA:DA:8C)	0.043	-0.996	0.150	-0.183	0.000	-0.122	-81.98	-2.94	128.67	1.568	18.816	-4.606	0.33444	-0.25635	-0.59952	0.68039	6.1	13111	75
2025-5-24 13:10:26:19	WTRIGHT(D0:74:13:DA:DA:8C)	0.050	-0.994	0.154	-0.061	0.061	-0.183	-81.98	-2.94	128.65	1.568	18.816	-4.606	0.33444	-0.25635	-0.59952	0.68039	6.1	13111	75
2025-5-24 13:10:26:19	WTRIGHT(D0:74:13:DA:DA:8C)	0.048	-0.995	0.153	-0.061	0.122	-0.305	-81.98	-2.94	128.63	1.568	18.816	-4.606	0.34268	-0.26602	-0.59616	0.67548	6.1	13111	75
2025-5-24 13:10:26:20	WTRIGHT(D0:74:13:DA:DA:8C)	0.048	-0.997	0.142	-0.122	0.000	-0.305	-81.98	-2.94	128.61	1.568	18.816	-4.606	0.34268	-0.26602	-0.59616	0.67548	6.1	13111	75
2025-5-24 13:10:26:20	WTRIGHT(D0:74:13:DA:DA:8C)	0.064	-0.996	0.145	0.122	0.061	-0.183	-81.98	-2.95	128.59	1.568	18.816	-4.606	0.34268	-0.26602	-0.59616	0.67548	6.1	13111	75
2025-5-24 13:10:26:20	WTRIGHT(D0:74:13:DA:DA:8C)	0.061	-0.998	0.148	0.061	0.183	-0.244	-81.98	-2.95	128.57	1.568	18.816	-4.606	0.34268	-0.26602	-0.59616	0.67548	6.1	13111	75
2025-5-24 13:10:26:20	WTRIGHT(D0:74:13:DA:DA:8C)	0.057	-0.994	0.151	-0.183	0.244	-0.061	-81.98	-2.95	128.55	1.568	18.816	-4.606	0.34268	-0.26602	-0.59616	0.67548	6.1	13111	75
2025-5-24 13:10:26:20	WTRIGHT(D0:74:13:DA:DA:8C)	0.059	-0.997	0.147	0.183	0.061	-0.244	-81.98	-2.95	128.53	1.568	18.816	-4.606	0.34268	-0.26602	-0.59616	0.67548	6.1	13111	75
2025-5-24 13:10:26:37	WTGSB-A6(C3:11:EA:D7:53:77)	-0.104	-0.987	0.064	0.000	0.000	0.549	-87.03	7.31	-36.54	-66.934	14.504	93.492	0.70239	-0.63712	0.25055	-0.19461	6.2	13111	40
2025-5-24 13:10:26:37	WTGSB-A6(C3:11:EA:D7:53:77)	-0.110	-0.985	0.059	0.183	0.000	0.488	-87.03	7.31	-36.54	-66.934	14.504	93.492	0.70239	-0.63712	0.25055	-0.19461	6.2	13111	40
2025-5-24 13:10:26:37	WTGSB-A6(C3:11:EA:D7:53:77)	-0.112	-0.989	0.059	0.122	-0.061	0.610	-87.03	7.32	-36.54	-66.934	14.504	93.492	0.70239	-0.63712	0.25055	-0.19461	6.2	13111	40
