时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	四元数0()	四元数1()	四元数2()	四元数3()	温度(°C)	版本号()	电量(%)
2025-5-24 13:10:59:73	WTRIGHT(D0:74:13:DA:DA:8C)	0.293	-0.921	0.249	0.244	0.183	0.427	-75.54	-15.58	-47.03	-50.470	21.266	35.868	-0.68781	0.59607	-0.14304	0.38867	6.2	13111	75
2025-5-24 13:10:59:73	WTRIGHT(D0:74:13:DA:DA:8C)	0.288	-0.919	0.251	0.000	0.183	0.854	-75.54	-15.58	-47.04	-50.470	21.266	35.868	-0.68781	0.59607	-0.14304	0.38867	6.2	13111	75
2025-5-24 13:10:59:73	WTRIGHT(D0:74:13:DA:DA:8C)	0.287	-0.926	0.251	0.000	0.244	0.793	-75.54	-15.58	-47.04	-50.470	21.266	35.868	-0.68781	0.59607	-0.14304	0.38867	6.2	13111	75
2025-5-24 13:10:59:73	WTRIGHT(D0:74:13:DA:DA:8C)	0.276	-0.927	0.250	-0.061	0.061	0.916	-75.54	-15.58	-47.04	-50.470	21.266	35.868	-0.68781	0.59607	-0.14304	0.38867	6.2	13111	75
2025-5-24 13:10:59:73	WTRIGHT(D0:74:13:DA:DA:8C)	0.282	-0.929	0.250	-0.244	0.000	1.160	-75.55	-15.58	-47.05	-50.470	21.266	35.868	-0.68781	0.59607	-0.14304	0.38867	6.2	13111	75
2025-5-24 13:10:59:73	WTRIGHT(D0:74:13:DA:DA:8C)	0.277	-0.936	0.249	-0.305	0.000	1.221	-75.55	-15.57	-47.05	-50.470	21.266	35.868	-0.68781	0.59607	-0.14304	0.38867	6.2	13111	75
2025-5-24 13:10:59:73	WTRIGHT(D0:74:13:DA:DA:8C)	0.276	-0.942	0.246	-0.366	0.061	1.221	-75.55	-15.57	-47.05	-50.470	21.266	35.868	-0.68781	0.59607	-0.14304	0.38867	6.2	13111	75
2025-5-24 13:10:59:73	WTRIGHT(D0:74:13:DA:DA:8C)	0.275	-0.944	0.245	-0.366	0.183	1.160	-75.55	-15.57	-47.06	-50.470	21.266	35.868	-0.68781	0.59607	-0.14304	0.38867	6.2	13111	75
2025-5-24 13:10:59:92	WTGSB-A6(C3:11:EA:D7:53:77)	-0.358	-0.900	0.226	-0.244	0.183	0.000	-77.45	21.38	-50.17	-44.296	11.858	26.950	0.74527	-0.49689	0.38187	-0.22745	6.2	13111	50
2025-5-24 13:10:59:92	WTGSB-A6(C3:11:EA:D7:53:77)	-0.361	-0.906	0.224	-0.122	0.000	-0.061	-77.45	21.38	-50.19	-44.296	11.858	26.950	0.74527	-0.49689	0.38187	-0.22745	6.2	13111	50
