时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	四元数0()	四元数1()	四元数2()	四元数3()	温度(°C)	版本号()	电量(%)
2025-5-24 13:23:6:214	WTGSB-A6(C3:11:EA:D7:53:77)	-0.180	-0.967	0.179	0.000	0.061	0.244	-80.15	11.61	-35.78	-70.560	18.522	95.158	0.74625	-0.58490	0.26126	-0.18069	6.6	13111	40
2025-5-24 13:23:6:214	WTGSB-A6(C3:11:EA:D7:53:77)	-0.181	-0.969	0.177	0.000	0.000	0.244	-80.15	11.62	-35.78	-70.560	18.522	95.158	0.74625	-0.58490	0.26126	-0.18069	6.6	13111	40
2025-5-24 13:23:6:214	WTGSB-A6(C3:11:EA:D7:53:77)	-0.182	-0.967	0.179	-0.061	0.061	0.305	-80.15	11.62	-35.78	-70.560	18.522	95.158	0.74625	-0.58490	0.26126	-0.18069	6.6	13111	40
2025-5-24 13:23:6:214	WTGSB-A6(C3:11:EA:D7:53:77)	-0.181	-0.968	0.176	0.122	0.244	0.183	-80.15	11.62	-35.78	-70.560	18.522	95.158	0.74625	-0.58490	0.26126	-0.18069	6.6	13111	40
2025-5-24 13:23:6:214	WTGSB-A6(C3:11:EA:D7:53:77)	-0.185	-0.967	0.175	0.183	0.000	0.305	-80.15	11.62	-35.78	-70.560	18.522	95.158	0.74625	-0.58490	0.26126	-0.18069	6.6	13111	40
2025-5-24 13:23:6:214	WTGSB-A6(C3:11:EA:D7:53:77)	-0.185	-0.965	0.176	0.122	0.061	0.000	-80.15	11.62	-35.78	-70.560	18.522	95.158	0.74625	-0.58490	0.26126	-0.18069	6.6	13111	40
2025-5-24 13:23:6:214	WTGSB-A6(C3:11:EA:D7:53:77)	-0.181	-0.964	0.178	0.000	0.000	0.000	-80.15	11.62	-35.78	-70.560	18.522	95.158	0.74625	-0.58490	0.26126	-0.18069	6.6	13111	40
2025-5-24 13:23:6:214	WTGSB-A6(C3:11:EA:D7:53:77)	-0.175	-0.964	0.181	-0.122	0.000	0.183	-80.15	11.62	-35.78	-70.560	18.522	95.158	0.74625	-0.58490	0.26126	-0.18069	6.6	13111	40
2025-5-24 13:23:6:216	WTRIGHT(D0:74:13:DA:DA:8C)	0.079	-0.993	0.133	0.000	0.122	0.122	-82.51	-4.94	84.79	7.252	19.404	-1.764	0.57520	-0.46277	-0.46542	0.48810	6.6	13111	60
2025-5-24 13:23:6:216	WTRIGHT(D0:74:13:DA:DA:8C)	0.083	-0.997	0.131	0.305	0.122	0.122	-82.51	-4.94	84.79	7.252	19.404	-1.764	0.57520	-0.46277	-0.46542	0.48810	6.6	13111	60
2025-5-24 13:23:6:216	WTRIGHT(D0:74:13:DA:DA:8C)	0.087	-0.998	0.136	0.244	0.000	0.122	-82.51	-4.94	84.79	7.252	19.404	-1.764	0.57520	-0.46277	-0.46542	0.48810	6.6	13111	60
2025-5-24 13:23:6:216	WTRIGHT(D0:74:13:DA:DA:8C)	0.084	-1.000	0.132	0.122	0.000	0.122	-82.51	-4.94	84.79	7.252	19.404	-1.764	0.57520	-0.46277	-0.46542	0.48810	6.6	13111	60
2025-5-24 13:23:6:216	WTRIGHT(D0:74:13:DA:DA:8C)	0.085	-1.000	0.134	0.122	0.000	0.000	-82.51	-4.94	84.79	7.252	19.404	-1.764	0.57520	-0.46277	-0.46542	0.48810	6.6	13111	60
2025-5-24 13:23:6:216	WTRIGHT(D0:74:13:DA:DA:8C)	0.084	-0.997	0.140	0.244	0.122	0.122	-82.50	-4.94	84.79	7.252	19.404	-1.764	0.57520	-0.46277	-0.46542	0.48810	6.6	13111	60
2025-5-24 13:23:6:216	WTRIGHT(D0:74:13:DA:DA:8C)	0.083	-0.990	0.135	0.122	0.000	0.061	-82.50	-4.94	84.79	7.252	19.404	-1.764	0.57520	-0.46277	-0.46542	0.48810	6.6	13111	60
2025-5-24 13:23:6:217	WTRIGHT(D0:74:13:DA:DA:8C)	0.084	-0.994	0.136	-0.122	0.122	0.061	-82.51	-4.93	84.79	7.252	19.404	-1.764	0.57520	-0.46277	-0.46542	0.48810	6.6	13111	60
2025-5-24 13:23:6:272	WTGSB-A6(C3:11:EA:D7:53:77)	-0.174	-0.970	0.182	-0.122	0.061	0.061	-80.15	11.62	-35.78	-70.560	18.522	95.158	0.74625	-0.58490	0.26126	-0.18069	6.6	13111	40
2025-5-24 13:23:6:272	WTGSB-A6(C3:11:EA:D7:53:77)	-0.183	-0.973	0.175	-0.122	0.061	0.122	-80.15	11.62	-35.78	-70.560	18.522	95.158	0.74625	-0.58490	0.26126	-0.18069	6.6	13111	40
2025-5-24 13:23:6:272	WTGSB-A6(C3:11:EA:D7:53:77)	-0.187	-0.964	0.178	0.000	0.000	0.183	-80.15	11.62	-35.78	-70.560	18.522	95.158	0.74625	-0.58490	0.26126	-0.18069	6.6	13111	40
2025-5-24 13:23:6:272	WTGSB-A6(C3:11:EA:D7:53:77)	-0.179	-0.963	0.183	0.061	0.000	0.061	-80.15	11.62	-35.78	-70.560	18.522	95.158	0.74625	-0.58490	0.26126	-0.18069	6.6	13111	40
2025-5-24 13:23:6:272	WTGSB-A6(C3:11:EA:D7:53:77)	-0.174	-0.965	0.178	-0.122	0.061	0.061	-80.15	11.62	-35.78	-70.560	18.522	95.158	0.74625	-0.58490	0.26126	-0.18069	6.6	13111	40
2025-5-24 13:23:6:272	WTGSB-A6(C3:11:EA:D7:53:77)	-0.174	-0.972	0.180	-0.061	0.244	0.000	-80.15	11.62	-35.78	-70.560	18.522	95.158	0.74625	-0.58490	0.26126	-0.18069	6.6	13111	40
2025-5-24 13:23:6:272	WTGSB-A6(C3:11:EA:D7:53:77)	-0.175	-0.971	0.172	0.000	0.061	0.122	-80.15	11.63	-35.78	-70.560	18.522	95.158	0.74625	-0.58490	0.26126	-0.18069	6.6	13111	40
2025-5-24 13:23:6:272	WTGSB-A6(C3:11:EA:D7:53:77)	-0.184	-0.968	0.178	0.000	0.000	0.122	-80.15	11.63	-35.78	-70.560	18.522	95.158	0.74625	-0.58490	0.26126	-0.18069	6.6	13111	40
2025-5-24 13:23:6:272	WTGSB-A6(C3:11:EA:D7:53:77)	-0.180	-0.966	0.184	0.000	0.061	0.244	-80.15	11.63	-35.78	-70.560	18.522	95.158	0.74625	-0.58490	0.26126	-0.18069	6.6	13111	40
2025-5-24 13:23:6:272	WTGSB-A6(C3:11:EA:D7:53:77)	-0.177	-0.965	0.178	-0.061	0.122	0.061	-80.15	11.63	-35.78	-70.560	18.522	95.158	0.74625	-0.58490	0.26126	-0.18069	6.6	13111	40
2025-5-24 13:23:6:272	WTGSB-A6(C3:11:EA:D7:53:77)	-0.172	-0.969	0.185	-0.122	0.000	0.122	-80.15	11.63	-35.78	-70.560	18.522	95.158	0.74625	-0.58490	0.26126	-0.18069	6.6	13111	40
