时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	四元数0()	四元数1()	四元数2()	四元数3()	温度(°C)	版本号()	电量(%)
2025-5-24 13:25:32:280	WTRIGHT(D0:74:13:DA:DA:8C)	0.065	-0.988	0.180	-0.488	-0.061	0.732	-79.83	-3.83	42.34	8.232	34.398	4.998	0.72546	-0.58569	-0.25330	0.25772	6.8	13111	60
2025-5-24 13:25:32:280	WTRIGHT(D0:74:13:DA:DA:8C)	0.062	-0.989	0.186	-0.488	-0.061	0.610	-79.83	-3.83	42.34	8.134	34.594	4.998	0.72546	-0.58569	-0.25330	0.25772	6.8	13111	60
2025-5-24 13:25:32:280	WTRIGHT(D0:74:13:DA:DA:8C)	0.062	-0.991	0.180	-0.305	-0.244	0.671	-79.83	-3.83	42.34	8.134	34.594	4.998	0.72546	-0.58569	-0.25330	0.25772	6.8	13111	60
2025-5-24 13:25:32:280	WTRIGHT(D0:74:13:DA:DA:8C)	0.061	-0.990	0.178	-0.427	-0.061	0.610	-79.83	-3.82	42.34	8.134	34.594	4.998	0.72546	-0.58569	-0.25330	0.25772	6.8	13111	60
2025-5-24 13:25:32:280	WTRIGHT(D0:74:13:DA:DA:8C)	0.061	-0.992	0.181	-0.427	0.000	0.549	-79.84	-3.82	42.35	8.134	34.594	4.998	0.72546	-0.58569	-0.25330	0.25772	6.8	13111	60
2025-5-24 13:25:32:280	WTRIGHT(D0:74:13:DA:DA:8C)	0.056	-0.993	0.183	-0.427	-0.122	0.610	-79.84	-3.82	42.35	8.134	34.594	4.998	0.72546	-0.58569	-0.25330	0.25772	6.8	13111	60
2025-5-24 13:25:32:280	WTRIGHT(D0:74:13:DA:DA:8C)	0.062	-0.992	0.181	-0.427	0.000	0.488	-79.84	-3.82	42.35	8.134	34.594	4.998	0.72546	-0.58569	-0.25330	0.25772	6.8	13111	60
2025-5-24 13:25:32:280	WTRIGHT(D0:74:13:DA:DA:8C)	0.055	-0.992	0.183	-0.305	-0.122	0.427	-79.84	-3.81	42.35	8.134	34.594	4.998	0.72546	-0.58569	-0.25330	0.25772	6.8	13111	60
2025-5-24 13:25:32:281	WTGSB-A6(C3:11:EA:D7:53:77)	-0.152	-0.979	0.150	0.488	0.122	-0.366	-82.51	10.71	-37.55	-67.718	30.968	85.652	0.72989	-0.59869	0.26892	-0.19070	6.8	13111	30
2025-5-24 13:25:32:281	WTGSB-A6(C3:11:EA:D7:53:77)	-0.148	-0.979	0.152	0.488	0.061	-0.488	-82.51	10.71	-37.55	-67.718	30.968	85.652	0.72989	-0.59869	0.26892	-0.19070	6.8	13111	30
2025-5-24 13:25:32:281	WTGSB-A6(C3:11:EA:D7:53:77)	-0.151	-0.981	0.156	0.366	0.122	-0.305	-82.50	10.70	-37.55	-67.718	30.968	85.652	0.72989	-0.59869	0.26892	-0.19070	6.8	13111	30
2025-5-24 13:25:32:281	WTGSB-A6(C3:11:EA:D7:53:77)	-0.147	-0.979	0.148	0.366	0.122	-0.122	-82.50	10.70	-37.56	-67.718	30.968	85.652	0.72989	-0.59869	0.26892	-0.19070	6.8	13111	30
2025-5-24 13:25:32:281	WTGSB-A6(C3:11:EA:D7:53:77)	-0.153	-0.978	0.146	0.732	0.183	-0.061	-82.50	10.70	-37.56	-67.718	30.968	85.652	0.72989	-0.59869	0.26892	-0.19070	6.8	13111	30
2025-5-24 13:25:32:281	WTGSB-A6(C3:11:EA:D7:53:77)	-0.158	-0.979	0.149	0.488	0.122	0.000	-82.49	10.70	-37.56	-67.718	30.968	85.652	0.72989	-0.59869	0.26892	-0.19070	6.8	13111	30
2025-5-24 13:25:32:281	WTGSB-A6(C3:11:EA:D7:53:77)	-0.152	-0.976	0.153	0.549	0.244	0.000	-82.49	10.70	-37.56	-67.718	30.968	85.652	0.72989	-0.59869	0.26892	-0.19070	6.8	13111	30
2025-5-24 13:25:32:281	WTGSB-A6(C3:11:EA:D7:53:77)	-0.155	-0.978	0.150	0.549	0.122	0.061	-82.49	10.70	-37.56	-67.718	30.968	85.652	0.72989	-0.59869	0.26892	-0.19070	6.8	13111	30
2025-5-24 13:25:32:281	WTRIGHT(D0:74:13:DA:DA:8C)	0.060	-0.995	0.178	-0.305	0.000	0.549	-79.85	-3.81	42.35	8.134	34.594	4.998	0.72546	-0.58569	-0.25330	0.25772	6.8	13111	60
2025-5-24 13:25:32:281	WTRIGHT(D0:74:13:DA:DA:8C)	0.056	-0.991	0.179	-0.366	-0.122	0.427	-79.85	-3.81	42.35	8.134	34.594	4.998	0.72546	-0.58569	-0.25330	0.25772	6.8	13111	60
2025-5-24 13:25:32:281	WTRIGHT(D0:74:13:DA:DA:8C)	0.060	-0.991	0.178	-0.488	-0.061	0.122	-79.85	-3.81	42.36	8.134	34.594	4.998	0.72546	-0.58569	-0.25330	0.25772	6.8	13111	60
2025-5-24 13:25:32:281	WTRIGHT(D0:74:13:DA:DA:8C)	0.063	-0.993	0.178	-0.366	-0.122	0.183	-79.85	-3.81	42.36	8.134	34.594	4.998	0.72546	-0.58569	-0.25330	0.25772	6.8	13111	60
2025-5-24 13:25:32:281	WTRIGHT(D0:74:13:DA:DA:8C)	0.067	-0.992	0.178	-0.366	-0.244	0.183	-79.86	-3.81	42.36	8.134	34.594	4.998	0.72546	-0.58569	-0.25330	0.25772	6.8	13111	60
2025-5-24 13:25:32:281	WTRIGHT(D0:74:13:DA:DA:8C)	0.072	-0.992	0.182	-0.244	-0.122	0.061	-79.86	-3.81	42.36	8.134	34.594	4.998	0.72546	-0.58569	-0.25330	0.25772	6.8	13111	60
2025-5-24 13:25:32:281	WTRIGHT(D0:74:13:DA:DA:8C)	0.065	-0.983	0.181	-0.549	-0.305	0.183	-79.87	-3.81	42.37	8.134	34.594	4.998	0.72546	-0.58569	-0.25330	0.25772	6.8	13111	60
2025-5-24 13:25:32:281	WTRIGHT(D0:74:13:DA:DA:8C)	0.064	-0.991	0.184	-0.488	0.000	0.183	-79.87	-3.81	42.37	8.134	34.594	4.998	0.72546	-0.58569	-0.25330	0.25772	6.8	13111	60
