时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	四元数0()	四元数1()	四元数2()	四元数3()	温度(°C)	版本号()	电量(%)
2025-5-24 13:29:10:973	WTGSB-A6(C3:11:EA:D7:53:77)	-0.161	-0.980	0.113	0.793	0.305	2.075	-85.21	10.07	31.46	-61.250	12.642	98.784	-0.70166	0.66446	0.11346	-0.23059	7.0	13111	50
2025-5-24 13:29:10:973	WTGSB-A6(C3:11:EA:D7:53:77)	-0.156	-0.969	0.114	0.916	0.122	2.014	-85.20	10.08	31.54	-61.250	12.642	98.784	-0.70166	0.66446	0.11346	-0.23059	7.0	13111	50
2025-5-24 13:29:10:973	WTGSB-A6(C3:11:EA:D7:53:77)	-0.156	-0.973	0.112	0.732	0.244	2.197	-85.19	10.09	31.61	-61.250	12.642	98.784	-0.70166	0.66446	0.11346	-0.23059	7.0	13111	50
2025-5-24 13:29:10:973	WTGSB-A6(C3:11:EA:D7:53:77)	-0.153	-0.980	0.108	0.793	0.183	2.136	-85.19	10.11	31.70	-61.446	12.642	98.686	-0.70166	0.66446	0.11346	-0.23059	7.0	13111	50
2025-5-24 13:29:10:973	WTGSB-A6(C3:11:EA:D7:53:77)	-0.152	-0.976	0.107	0.793	0.427	2.319	-85.18	10.12	31.77	-61.446	12.642	98.686	-0.70166	0.66446	0.11346	-0.23059	7.0	13111	50
2025-5-24 13:29:10:973	WTGSB-A6(C3:11:EA:D7:53:77)	-0.163	-0.984	0.103	0.793	0.427	2.625	-85.18	10.13	31.85	-61.446	12.642	98.686	-0.70166	0.66446	0.11346	-0.23059	7.0	13111	50
2025-5-24 13:29:10:973	WTGSB-A6(C3:11:EA:D7:53:77)	-0.164	-0.976	0.106	0.977	0.305	2.686	-85.17	10.15	31.93	-61.446	12.642	98.686	-0.70166	0.66446	0.11346	-0.23059	7.0	13111	50
2025-5-24 13:29:10:973	WTGSB-A6(C3:11:EA:D7:53:77)	-0.178	-0.979	0.112	0.671	0.366	2.686	-85.17	10.17	32.00	-61.446	12.642	98.686	-0.70166	0.66446	0.11346	-0.23059	7.0	13111	50
2025-5-24 13:29:10:974	WTGSB-A6(C3:11:EA:D7:53:77)	-0.168	-0.978	0.110	0.854	0.427	2.747	-85.16	10.18	32.07	-61.446	12.642	98.686	-0.70166	0.66446	0.11346	-0.23059	7.0	13111	50
2025-5-24 13:29:10:974	WTGSB-A6(C3:11:EA:D7:53:77)	-0.162	-0.970	0.102	1.038	0.366	2.747	-85.16	10.20	32.15	-61.446	12.642	98.686	-0.70166	0.66446	0.11346	-0.23059	7.0	13111	50
2025-5-24 13:29:10:974	WTGSB-A6(C3:11:EA:D7:53:77)	-0.155	-0.984	0.106	0.610	0.366	2.869	-85.15	10.22	32.23	-61.446	12.642	98.686	-0.70166	0.66446	0.11346	-0.23059	7.0	13111	50
2025-5-24 13:29:10:974	WTGSB-A6(C3:11:EA:D7:53:77)	-0.169	-0.974	0.110	1.160	0.366	2.991	-85.14	10.23	32.31	-61.446	12.642	98.686	-0.70166	0.66446	0.11346	-0.23059	7.0	13111	50
2025-5-24 13:29:10:974	WTGSB-A6(C3:11:EA:D7:53:77)	-0.170	-0.975	0.112	0.671	0.305	3.052	-85.14	10.25	32.38	-61.446	12.642	98.686	-0.70166	0.66446	0.11346	-0.23059	7.0	13111	50
2025-5-24 13:29:10:974	WTGSB-A6(C3:11:EA:D7:53:77)	-0.170	-0.975	0.114	0.854	0.244	3.052	-85.13	10.27	32.46	-61.446	12.642	98.686	-0.70166	0.66446	0.11346	-0.23059	7.0	13111	50
2025-5-24 13:29:10:974	WTGSB-A6(C3:11:EA:D7:53:77)	-0.166	-0.990	0.106	0.793	0.549	3.113	-85.12	10.28	32.53	-61.446	12.642	98.686	-0.70166	0.66446	0.11346	-0.23059	7.0	13111	50
2025-5-24 13:29:10:974	WTGSB-A6(C3:11:EA:D7:53:77)	-0.173	-0.982	0.103	0.977	0.427	3.235	-85.12	10.30	32.61	-61.446	12.642	98.686	-0.70166	0.66446	0.11346	-0.23059	7.0	13111	50
