时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	四元数0()	四元数1()	四元数2()	四元数3()	温度(°C)	版本号()	电量(%)
2025-5-24 13:31:50:652	WTRIGHT(D0:74:13:DA:DA:8C)	0.428	-1.002	0.097	13.428	-7.141	-30.151	-83.60	-2.00	50.20	12.544	27.440	7.840	-0.67682	0.60202	0.28720	-0.31128	7.0	13111	60
2025-5-24 13:31:50:652	WTRIGHT(D0:74:13:DA:DA:8C)	1.350	1.253	1.030	-7.874	-6.104	-22.278	-83.64	-2.10	50.20	12.544	27.440	7.840	-0.67682	0.60202	0.28720	-0.31128	7.0	13111	60
2025-5-24 13:31:50:652	WTRIGHT(D0:74:13:DA:DA:8C)	1.258	-1.311	0.425	23.560	-7.568	-33.264	-83.52	-2.26	50.21	12.544	27.440	7.840	-0.67682	0.60202	0.28720	-0.31128	7.0	13111	60
2025-5-24 13:31:50:652	WTRIGHT(D0:74:13:DA:DA:8C)	0.115	-0.654	0.438	9.705	5.066	-23.560	-83.46	-2.38	50.17	12.544	27.440	7.840	-0.67682	0.60202	0.28720	-0.31128	7.0	13111	60
2025-5-24 13:31:50:652	WTRIGHT(D0:74:13:DA:DA:8C)	-0.438	-1.130	0.128	5.737	-0.061	-10.681	-83.42	-2.43	50.16	12.544	27.440	7.840	-0.67682	0.60202	0.28720	-0.31128	7.0	13111	60
2025-5-24 13:31:50:652	WTRIGHT(D0:74:13:DA:DA:8C)	-0.334	-0.992	0.011	7.935	0.977	-14.954	-83.38	-2.51	50.15	12.544	27.440	7.840	-0.67682	0.60202	0.28720	-0.31128	7.0	13111	60
2025-5-24 13:31:50:652	WTRIGHT(D0:74:13:DA:DA:8C)	-0.141	-1.127	-0.037	8.057	0.000	-19.409	-83.33	-2.60	50.13	12.544	27.440	7.840	-0.67682	0.60202	0.28720	-0.31128	7.0	13111	60
2025-5-24 13:31:50:652	WTRIGHT(D0:74:13:DA:DA:8C)	0.193	-1.107	0.010	9.827	-1.648	-20.569	-83.28	-2.70	50.12	12.544	27.440	7.840	-0.67682	0.60202	0.28720	-0.31128	7.0	13111	60
2025-5-24 13:31:50:673	WTRIGHT(D0:74:13:DA:DA:8C)	-0.075	-0.957	0.166	11.047	-0.793	-23.010	-83.22	-2.81	50.11	12.544	27.440	7.840	-0.67682	0.60202	0.28720	-0.31128	7.0	13111	60
2025-5-24 13:31:50:673	WTRIGHT(D0:74:13:DA:DA:8C)	-0.173	-1.002	0.126	7.874	-1.404	-21.240	-83.18	-2.91	50.10	12.544	27.440	7.840	-0.67682	0.60202	0.28720	-0.31128	7.0	13111	60
