时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	温度(°C)	电量(%)
2025-6-24 10:20:17:602	WTRIGHT(D0:74:13:DA:DA:8C)		0.001	1.004				-91.03	2.04	-112.99	-81.928	-34.888	92.708	30.6	100
2025-6-24 10:20:17:602	WTRIGHT(D0:74:13:DA:DA:8C)			1.003				-91.03	2.04	-112.99	-81.928	-34.888	92.708	30.6	100
2025-6-24 10:20:17:602	WTRIGHT(D0:74:13:DA:DA:8C)	0.003		1.006				-91.03	2.04	-112.99	-81.928	-34.888	92.708	30.6	100
2025-6-24 10:20:17:602	WTRIGHT(D0:74:13:DA:DA:8C)	0.003		1.001				-91.03	2.04	-112.99	-81.928	-34.888	92.708	30.6	100
2025-6-24 10:20:17:602	WTRIGHT(D0:74:13:DA:DA:8C)	0.006		1.006				-91.03	2.04	-112.99	-81.928	-34.888	92.708	30.6	100
2025-6-24 10:20:17:602	WTRIGHT(D0:74:13:DA:DA:8C)	0.007		1.003				-91.03	2.04	-112.99	-81.928	-34.888	92.708	30.6	100
2025-6-24 10:20:17:641	WTLEFT(C3:11:EA:D7:53:77)	0.009	-0.001	0.998				0.14	0.42	0.01	-47.628	-107.8	12.74	30.1	100
2025-6-24 10:20:17:641	WTLEFT(C3:11:EA:D7:53:77)	0.01	-0.001	0.999				0.14	0.42	0.01	-47.628	-107.8	12.74	30.1	100
2025-6-24 10:20:17:641	WTLEFT(C3:11:EA:D7:53:77)	0.009	-0.001	1				0.14	0.42	0.01	-47.628	-107.8	12.74	30.1	100
2025-6-24 10:20:17:641	WTLEFT(C3:11:EA:D7:53:77)	0.011	-0.001	0.999				0.14	0.42	0.01	-47.628	-107.8	12.74	30.1	100
2025-6-24 10:20:17:641	WTLEFT(C3:11:EA:D7:53:77)	0.006	-0.002	0.998				0.14	0.42	0.01	-47.628	-107.8	12.74	30.1	100
2025-6-24 10:20:17:641	WTLEFT(C3:11:EA:D7:53:77)	0.008		0.999				0.14	0.42	0.01	-47.628	-107.8	12.74	30.1	100
2025-6-24 10:20:17:641	WTLEFT(C3:11:EA:D7:53:77)	0.008	0.001	0.998				0.14	0.42	0.01	-47.628	-107.8	12.74	30.1	100
2025-6-24 10:20:17:641	WTLEFT(C3:11:EA:D7:53:77)	0.008		1				0.14	0.42	0.01	-47.628	-107.8	12.74	30.1	100
2025-6-24 10:20:17:664	WTRIGHT(D0:74:13:DA:DA:8C)			1.003				-91.03	2.04	-112.99	-81.928	-34.888	92.708	30.6	100
