时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	温度(°C)	电量(%)
2025-6-24 21:49:6:716	WTLEFT(C3:11:EA:D7:53:77)	-0.01	-0.003	0.991	0.061			0.04	1.64	-94.98	-91.434	-7.644	19.894	30	100
2025-6-24 21:49:6:717	WTLEFT(C3:11:EA:D7:53:77)	-0.009	-0.007	0.993	0.305			0.04	1.64	-94.98	-91.434	-7.644	19.894	30	100
2025-6-24 21:49:6:717	WTLEFT(C3:11:EA:D7:53:77)	-0.012	-0.004	0.994	0.183			0.04	1.64	-94.98	-91.434	-7.644	19.894	30	100
2025-6-24 21:49:6:717	WTLEFT(C3:11:EA:D7:53:77)	-0.011	-0.004	1.001	0.122			0.04	1.64	-94.98	-91.434	-7.644	19.894	30	100
2025-6-24 21:49:6:718	WTLEFT(C3:11:EA:D7:53:77)	-0.011	-0.003	1.007	0.244			0.04	1.64	-94.98	-91.434	-7.644	19.894	30	100
2025-6-24 21:49:6:734	WTRIGHT(D0:74:13:DA:DA:8C)	-0.067	0.986	0.112	0.061	0.122		-7.21	5.11	-147.65	-58.408	-33.516	90.944	32.1	100
2025-6-24 21:49:6:735	WTRIGHT(D0:74:13:DA:DA:8C)	-0.061	0.985	0.107	0.061	0.122	0.183	-7.21	5.11	-147.65	-58.408	-33.516	90.944	32.1	100
2025-6-24 21:49:6:735	WTRIGHT(D0:74:13:DA:DA:8C)	-0.054	0.99	0.107	0.122		0.427	-7.21	5.1	-147.65	-58.408	-33.516	90.944	32.1	100
2025-6-24 21:49:6:735	WTRIGHT(D0:74:13:DA:DA:8C)	-0.047	0.993	0.104	0.366		0.366	-7.21	5.1	-147.65	-58.408	-33.516	90.944	32.1	100
2025-6-24 21:49:6:735	WTRIGHT(D0:74:13:DA:DA:8C)	-0.037	0.994	0.104	0.549	-0.244	0.244	-7.21	5.1	-147.65	-58.408	-33.516	90.944	32.1	100
2025-6-24 21:49:6:735	WTRIGHT(D0:74:13:DA:DA:8C)	-0.034	0.998	0.105	0.366		0.305	-7.21	5.1	-147.65	-58.408	-33.516	90.944	32.1	100
