时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	温度(°C)	电量(%)
2025-6-24 21:48:21:650	WTLEFT(C3:11:EA:D7:53:77)	-0.013	-0.005	1				-0.02	1.57	-95.44	-91.434	-8.82	18.816	29	100
2025-6-24 21:48:21:650	WTLEFT(C3:11:EA:D7:53:77)	-0.011		0.999				-0.02	1.57	-95.44	-91.434	-8.82	18.816	29	100
2025-6-24 21:48:21:650	WTLEFT(C3:11:EA:D7:53:77)	-0.01	-0.003	0.999				-0.02	1.57	-95.44	-91.434	-8.82	18.816	29	100
2025-6-24 21:48:21:650	WTLEFT(C3:11:EA:D7:53:77)	-0.009	-0.003	0.999				-0.02	1.57	-95.44	-91.434	-8.82	18.816	29	100
2025-6-24 21:48:21:650	WTLEFT(C3:11:EA:D7:53:77)	-0.011	-0.005	1				-0.02	1.57	-95.44	-91.434	-8.82	18.816	29	100
2025-6-24 21:48:21:669	WTRIGHT(D0:74:13:DA:DA:8C)	-0.051	0.987	0.105	-0.061			-7.03	4.87	-147.41	-59.192	-34.104	91.042	32.4	100
2025-6-24 21:48:21:669	WTRIGHT(D0:74:13:DA:DA:8C)	-0.045	0.99	0.107	0.122			-7.03	4.87	-147.41	-59.192	-34.104	91.042	32.4	100
2025-6-24 21:48:21:669	WTRIGHT(D0:74:13:DA:DA:8C)	-0.047	0.988	0.103	-0.061			-7.03	4.87	-147.41	-59.192	-34.104	91.042	32.4	100
2025-6-24 21:48:21:669	WTRIGHT(D0:74:13:DA:DA:8C)	-0.042	0.988	0.104				-7.03	4.87	-147.4	-59.192	-34.104	91.042	32.4	100
2025-6-24 21:48:21:669	WTRIGHT(D0:74:13:DA:DA:8C)	-0.045	0.988	0.104		0.061		-7.03	4.87	-147.4	-59.192	-34.104	91.042	32.4	100
2025-6-24 21:48:21:669	WTRIGHT(D0:74:13:DA:DA:8C)	-0.047	0.991	0.103	-0.061			-7.03	4.87	-147.4	-59.192	-34.104	91.042	32.4	100
2025-6-24 21:48:21:669	WTRIGHT(D0:74:13:DA:DA:8C)	-0.046	0.988	0.101	-0.122			-7.04	4.87	-147.4	-59.192	-34.104	91.042	32.4	100
2025-6-24 21:48:21:669	WTRIGHT(D0:74:13:DA:DA:8C)	-0.044	0.991	0.102	-0.183	0.061		-7.04	4.87	-147.4	-59.192	-34.104	91.042	32.4	100
2025-6-24 21:48:21:683	WTLEFT(C3:11:EA:D7:53:77)	-0.011	-0.002	1				-0.02	1.57	-95.44	-91.434	-8.82	18.816	29	100
2025-6-24 21:48:21:683	WTLEFT(C3:11:EA:D7:53:77)	-0.01	-0.003	1.001				-0.02	1.57	-95.44	-91.434	-8.82	18.816	29	100
