时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	四元数0()	四元数1()	四元数2()	四元数3()	温度(°C)	版本号()	电量(%)
2025-6-24 23:34:34:603	WTRIGHT(D0:74:13:DA:DA:8C)	0.092	0.990	-0.075	0.061	0.061	-1.587	3.08	-3.72	-147.43	-56.252	-41.454	82.614	0.22626	0.17081	-0.71078	-0.64365	27.5	13111	100
2025-6-24 23:34:34:604	WTRIGHT(D0:74:13:DA:DA:8C)	0.110	0.987	-0.070	0.122	0.061	-1.282	3.08	-3.70	-147.42	-56.252	-41.454	82.614	0.22626	0.17081	-0.71078	-0.64365	27.5	13111	100
2025-6-24 23:34:34:604	WTRIGHT(D0:74:13:DA:DA:8C)	0.112	0.985	-0.068	0.183	0.122	-0.854	3.08	-3.68	-147.41	-56.252	-41.454	82.614	0.22626	0.17081	-0.71078	-0.64365	27.5	13111	100
2025-6-24 23:34:34:604	WTRIGHT(D0:74:13:DA:DA:8C)	0.036	0.990	-0.077	0.061	0.122	-1.465	3.08	-3.66	-147.40	-56.252	-41.454	82.614	0.22626	0.17081	-0.71078	-0.64365	27.5	13111	100
2025-6-24 23:34:34:604	WTLEFT(C3:11:EA:D7:53:77)	-0.012	-0.005	0.996	-0.488	0.061	0.000	-0.24	1.64	-90.67	-80.360	-0.980	9.114	0.70291	0.00174	0.00681	-0.71115	27.5	13111	100
2025-6-24 23:34:34:605	WTLEFT(C3:11:EA:D7:53:77)	-0.009	-0.003	0.996	-0.305	0.122	0.000	-0.25	1.64	-90.67	-80.360	-0.980	9.114	0.70291	0.00174	0.00681	-0.71115	27.5	13111	100
2025-6-24 23:34:34:605	WTRIGHT(D0:74:13:DA:DA:8C)	0.091	0.898	-0.100	-0.977	-0.061	-1.404	3.08	-3.63	-147.40	-56.252	-41.454	82.614	0.22626	0.17081	-0.71078	-0.64365	27.5	13111	100
2025-6-24 23:34:34:605	WTRIGHT(D0:74:13:DA:DA:8C)	0.100	0.984	-0.069	-0.122	0.000	-0.854	3.08	-3.61	-147.40	-56.252	-41.454	82.614	0.22647	0.17212	-0.71133	-0.64264	27.5	13111	100
2025-6-24 23:34:34:605	WTLEFT(C3:11:EA:D7:53:77)	-0.013	-0.003	1.010	-0.671	0.000	0.000	-0.25	1.64	-90.67	-80.360	-0.980	9.114	0.70291	0.00174	0.00681	-0.71115	27.5	13111	100
2025-6-24 23:34:34:606	WTLEFT(C3:11:EA:D7:53:77)	-0.012	-0.003	0.998	-0.122	0.000	0.000	-0.25	1.64	-90.67	-80.360	-0.980	9.114	0.70291	0.00174	0.00681	-0.71115	27.5	13111	100
