时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	温度(°C)	电量(%)
2025-6-24 23:34:58:894	WTLEFT(C3:11:EA:D7:53:77)	-0.012	0.003	0.999	-0.793			0.09	1.59	-90.68	-80.458	-0.98	8.526	27.6	100
2025-6-24 23:34:58:894	WTLEFT(C3:11:EA:D7:53:77)	-0.011	0.001	0.996	-0.732	-0.061		0.08	1.59	-90.68	-80.458	-0.98	8.526	27.6	100
2025-6-24 23:34:58:913	WTRIGHT(D0:74:13:DA:DA:8C)	0.11	0.996	-0.059	1.465	1.282	0.793	2.53	-3.98	-146.86	-56.154	-41.16	81.928	28.3	100
2025-6-24 23:34:58:913	WTRIGHT(D0:74:13:DA:DA:8C)	0.108	0.989	-0.063	1.221	1.099	0.671	2.54	-3.99	-146.84	-56.154	-41.16	81.928	28.3	100
2025-6-24 23:34:58:924	WTLEFT(C3:11:EA:D7:53:77)	-0.012		0.999		-0.061		0.08	1.59	-90.68	-80.458	-0.98	8.526	27.6	100
2025-6-24 23:34:58:924	WTLEFT(C3:11:EA:D7:53:77)	-0.011	0.003	0.999	-0.305			0.07	1.59	-90.68	-80.556	-0.882	8.624	27.6	100
2025-6-24 23:34:58:974	WTRIGHT(D0:74:13:DA:DA:8C)	0.107	0.987	-0.06	0.977	1.038	0.488	2.56	-4	-146.83	-56.252	-41.356	81.928	28.3	100
2025-6-24 23:34:58:974	WTRIGHT(D0:74:13:DA:DA:8C)	0.116	0.988	-0.059	0.916	0.793	0.549	2.58	-4.02	-146.82	-56.252	-41.356	81.928	28.3	100
2025-6-24 23:34:58:983	WTLEFT(C3:11:EA:D7:53:77)	-0.009	0.002	0.998	-0.305	-0.061		0.07	1.59	-90.68	-80.556	-0.882	8.624	27.6	100
2025-6-24 23:34:58:983	WTLEFT(C3:11:EA:D7:53:77)	-0.011	0.002	0.999	-0.122	-0.061		0.07	1.59	-90.68	-80.556	-0.882	8.624	27.6	100
2025-6-24 23:34:59:2	WTRIGHT(D0:74:13:DA:DA:8C)	0.113	0.984	-0.054	1.038	0.793	0.549	2.59	-4.03	-146.8	-56.252	-41.356	81.928	28.3	100
2025-6-24 23:34:59:2	WTRIGHT(D0:74:13:DA:DA:8C)	0.101	0.987	-0.054	1.282	0.916	0.427	2.61	-4.04	-146.79	-56.252	-41.356	81.928	28.3	100
2025-6-24 23:34:59:15	WTLEFT(C3:11:EA:D7:53:77)	-0.011	0.005	0.997	-0.183	-0.061		0.07	1.59	-90.68	-80.556	-0.882	8.624	27.6	100
2025-6-24 23:34:59:16	WTLEFT(C3:11:EA:D7:53:77)	-0.012	0.002	1	-0.305			0.07	1.59	-90.68	-80.556	-0.882	8.624	27.6	100
2025-6-24 23:34:59:34	WTRIGHT(D0:74:13:DA:DA:8C)	0.098	0.995	-0.058	1.587	1.16	0.488	2.63	-4.05	-146.78	-56.252	-41.356	81.928	28.3	100
2025-6-24 23:34:59:35	WTRIGHT(D0:74:13:DA:DA:8C)	0.098	0.992	-0.059	1.221	0.916	0.854	2.65	-4.06	-146.77	-56.252	-41.356	81.928	28.3	100
2025-6-24 23:34:59:43	WTLEFT(C3:11:EA:D7:53:77)	-0.011		0.998	-0.061	0.061		0.07	1.59	-90.68	-80.556	-0.882	8.624	27.6	100
2025-6-24 23:34:59:44	WTLEFT(C3:11:EA:D7:53:77)	-0.014	-0.001	0.998	0.061			0.07	1.59	-90.68	-80.556	-0.882	8.624	27.6	100
2025-6-24 23:34:59:93	WTRIGHT(D0:74:13:DA:DA:8C)	0.108	0.992	-0.061	1.404	1.038	1.465	2.68	-4.09	-146.76	-56.252	-41.356	81.928	28.3	100
2025-6-24 23:34:59:94	WTRIGHT(D0:74:13:DA:DA:8C)	0.117	0.988	-0.059	1.404	1.282	1.709	2.7	-4.12	-146.74	-56.252	-41.356	81.928	28.3	100
2025-6-24 23:34:59:105	WTLEFT(C3:11:EA:D7:53:77)	-0.009		0.995	0.366			0.08	1.59	-90.68	-80.556	-0.882	8.624	27.6	100
2025-6-24 23:34:59:105	WTLEFT(C3:11:EA:D7:53:77)	-0.013	0.002	1.002	0.366			0.09	1.58	-90.68	-80.556	-0.882	8.624	27.6	100
