时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	温度(°C)	电量(%)
2025-6-24 23:35:12:754	WTLEFT(C3:11:EA:D7:53:77)	-0.013	-0.033	1.108	-1.099	1.77	-0.244	-1.42	1.68	-91.07	-80.458	-1.078	8.428	27.6	100
2025-6-24 23:35:12:774	WTRIGHT(D0:74:13:DA:DA:8C)	0.075	0.988	-0.066	0.854	1.282	-1.526	3.04	-1.16	-148.95	-54.88	-40.768	82.32	28.3	100
2025-6-24 23:35:12:775	WTRIGHT(D0:74:13:DA:DA:8C)	-0.063	0.988	-0.016	2.014	2.747	-0.671	3.07	-1.14	-148.88	-54.88	-40.768	82.32	28.3	100
2025-6-24 23:35:12:784	WTLEFT(C3:11:EA:D7:53:77)	0.004	-0.02	1.019	-2.808	0.427		-1.47	1.7	-91.07	-80.458	-1.078	8.428	27.6	100
2025-6-24 23:35:12:785	WTLEFT(C3:11:EA:D7:53:77)	-0.01	-0.032	1.008	-1.465	0.061		-1.52	1.7	-91.07	-80.458	-1.078	8.428	27.6	100
2025-6-24 23:35:12:837	WTRIGHT(D0:74:13:DA:DA:8C)	-0.02	0.972	-0.063	2.502	2.563	3.723	3.1	-1.16	-148.78	-54.88	-40.768	82.32	28.3	100
2025-6-24 23:35:12:837	WTRIGHT(D0:74:13:DA:DA:8C)	0.078	0.968	-0.075	2.747	1.16	7.935	3.15	-1.27	-148.73	-54.88	-40.768	82.32	28.3	100
2025-6-24 23:35:12:844	WTLEFT(C3:11:EA:D7:53:77)	-0.012	-0.033	0.874	3.784	-1.587	0.122	-1.48	1.68	-91.06	-80.458	-1.078	8.428	27.6	100
2025-6-24 23:35:12:845	WTLEFT(C3:11:EA:D7:53:77)	-0.012	-0.038	0.976	7.202	-1.221		-1.36	1.65	-91.05	-80.458	-1.078	8.428	27.6	100
2025-6-24 23:35:12:870	WTRIGHT(D0:74:13:DA:DA:8C)	0.089	1.012	-0.08	1.831	0.305	9.094	3.19	-1.42	-148.69	-54.88	-40.768	82.32	28.3	100
