时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	温度(°C)	电量(%)
2025-6-24 23:35:26:753	WTRIGHT(D0:74:13:DA:DA:8C)	-0.096	1.124	-0.079	4.089	-6.165	16.479	3.11	5.21	-147.76	-53.41	-38.71	81.732	28.3	100
2025-6-24 23:35:26:753	WTRIGHT(D0:74:13:DA:DA:8C)	-0.052	1.027	0.021	2.258	3.296	14.709	3.19	4.97	-147.73	-53.41	-38.71	81.732	28.3	100
2025-6-24 23:35:26:764	WTLEFT(C3:11:EA:D7:53:77)	-0.032	-0.037	0.999	10.376	-6.592	-0.183	-2.06	2.89	-90.2	-80.36	-0.686	7.742	27.6	100
2025-6-24 23:35:26:764	WTLEFT(C3:11:EA:D7:53:77)	-0.038	-0.002	1.113	8.85	-5.737	-0.061	-1.88	2.77	-90.2	-80.36	-0.686	7.742	27.6	100
2025-6-24 23:35:26:818	WTRIGHT(D0:74:13:DA:DA:8C)	-0.073	1.009	-0.087	2.014	0.61	14.832	3.22	4.73	-147.71	-53.41	-38.71	81.732	28.3	100
2025-6-24 23:35:26:819	WTRIGHT(D0:74:13:DA:DA:8C)	0.045	0.958	-0.037	2.197	0.61	16.724	3.27	4.45	-147.67	-53.41	-38.71	81.732	28.3	100
2025-6-24 23:35:26:827	WTLEFT(C3:11:EA:D7:53:77)	-0.031	-0.041	0.939	8.24	-5.554	-0.122	-1.73	2.67	-90.19	-80.36	-0.686	7.742	27.6	100
2025-6-24 23:35:26:827	WTLEFT(C3:11:EA:D7:53:77)	-0.033	-0.024	1	9.399	-7.446	-0.122	-1.56	2.54	-90.19	-80.36	-0.686	7.742	27.6	100
2025-6-24 23:35:26:845	WTRIGHT(D0:74:13:DA:DA:8C)	0.078	1.019	-0.057	2.502	0.61	14.893	3.32	4.17	-147.63	-53.41	-38.71	81.732	28.3	100
2025-6-24 23:35:26:846	WTRIGHT(D0:74:13:DA:DA:8C)	0.154	1.017	-0.059	3.357	0.427	11.169	3.38	3.94	-147.6	-53.41	-38.71	81.732	28.3	100
2025-6-24 23:35:26:857	WTLEFT(C3:11:EA:D7:53:77)	-0.017	-0.001	0.994	8.484	-6.47	-0.183	-1.39	2.41	-90.19	-80.36	-0.686	7.742	27.6	100
2025-6-24 23:35:26:858	WTLEFT(C3:11:EA:D7:53:77)	-0.027	-0.02	1.035	8.118	-2.563	0.122	-1.24	2.33	-90.19	-80.36	-0.686	7.742	27.6	100
2025-6-24 23:35:26:873	WTRIGHT(D0:74:13:DA:DA:8C)	-0.17	1.123	-0.078	5.188	-0.488	9.094	3.46	3.77	-147.58	-53.41	-38.71	81.732	28.3	100
