时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	温度(°C)	电量(%)
2025-6-24 23:34:42:980	WTRIGHT(D0:74:13:DA:DA:8C)	0.111	0.984	-0.051		0.122	0.061	2.39	-3.99	-147.44	-57.036	-41.356	81.928	27.5	100
2025-6-24 23:34:42:992	WTLEFT(C3:11:EA:D7:53:77)	-0.011		1				0.1	1.6	-90.68	-80.458	-1.078	8.428	27.5	100
2025-6-24 23:34:42:992	WTLEFT(C3:11:EA:D7:53:77)	-0.011		0.998				0.1	1.6	-90.68	-80.458	-1.078	8.428	27.5	100
2025-6-24 23:34:43:15	WTRIGHT(D0:74:13:DA:DA:8C)	0.102	0.985	-0.058				2.39	-3.99	-147.44	-57.036	-41.356	81.928	27.5	100
2025-6-24 23:34:43:15	WTRIGHT(D0:74:13:DA:DA:8C)	0.102	0.992	-0.056	0.122	0.244	-0.366	2.39	-3.99	-147.43	-57.036	-41.356	81.928	27.5	100
2025-6-24 23:34:43:22	WTLEFT(C3:11:EA:D7:53:77)	-0.012	-0.001	1				0.1	1.6	-90.68	-80.458	-1.078	8.428	27.5	100
2025-6-24 23:34:43:22	WTLEFT(C3:11:EA:D7:53:77)	-0.012	0.001	1				0.1	1.6	-90.68	-80.458	-0.98	8.624	27.5	100
2025-6-24 23:34:43:46	WTRIGHT(D0:74:13:DA:DA:8C)	0.109	0.991	-0.055	-0.122			2.38	-3.98	-147.41	-57.036	-41.356	81.928	27.5	100
2025-6-24 23:34:43:47	WTRIGHT(D0:74:13:DA:DA:8C)	0.104	0.988	-0.058	-0.061	-0.183	0.305	2.38	-3.99	-147.41	-57.036	-41.356	81.732	27.5	100
2025-6-24 23:34:43:53	WTLEFT(C3:11:EA:D7:53:77)	-0.013		0.999				0.1	1.6	-90.68	-80.458	-0.98	8.624	27.5	100
