        time, timestamp,  aX(m/s²),  aY(m/s²),  aZ(m/s²), |a|(m/s²),  Ax(m/s²),  Ay(m/s²),  Az(m/s²), |A|(m/s²),   Gx(°/s),   Gy(°/s),   Gz(°/s),G_abs(°/s),  MagX(uT),  MagY(uT),  MagZ(uT),Mag_abs(uT), THE(°C),Pressure(hPa),height(m),        w,         x,         y,         z, angleX(°), angleY(°), angleZ(°),offsetX(m),offsetY(m),offsetZ(m),     steps,state, asX(m/s²), asY(m/s²), asZ(m/s²),|as|(m/s²), ADC1,GPIO
19:08:48.467,   5697894,     0.005,     0.005,     0.014,     0.016,     4.048,     4.359,     7.814,     9.821,     0.000,     0.000,     0.000,     0.000,   -46.527,   -17.372,   -74.625,    89.640,     31.51,  1016.887,   -30.238,    0.9469,    0.2419,   -0.2090,    0.0339,    29.169,   -24.346,    -2.324,     0.000,     0.000,     0.000,         0, idle,     0.000,     0.000,     0.014,     0.014, 2784,  01
19:08:48.512,   5697927,     0.005,     0.005,     0.014,     0.016,     4.048,     4.359,     7.814,     9.821,     0.000,     0.000,     0.000,     0.000,   -46.678,   -17.523,   -74.625,    89.748,     31.51,  1016.887,   -30.238,    0.9469,    0.2419,   -0.2090,    0.0339,    29.169,   -24.346,    -2.324,     0.000,     0.000,     0.000,         0, idle,     0.000,     0.000,     0.014,     0.014, 2786,  01
19:08:48.542,   5697960,     0.005,     0.005,     0.014,     0.016,     4.048,     4.359,     7.814,     9.821,     0.000,     0.000,     0.000,     0.000,   -46.829,   -17.674,   -74.927,    90.108,     31.51,  1016.887,   -30.238,    0.9469,    0.2419,   -0.2090,    0.0339,    29.169,   -24.346,    -2.324,     0.000,     0.000,     0.000,         0, idle,     0.000,     0.000,     0.014,     0.014, 2786,  01
19:08:48.572,   5697993,     0.005,     0.005,     0.014,     0.016,     4.048,     4.359,     7.814,     9.821,     0.000,     0.000,     0.000,     0.000,   -46.376,   -17.523,   -74.474,    89.466,     31.51,  1016.887,   -30.238,    0.9469,    0.2419,   -0.2090,    0.0339,    29.169,   -24.346,    -2.324,     0.000,     0.000,     0.000,         0, idle,     0.000,     0.000,     0.014,     0.014, 2784,  01
19:08:48.602,   5698026,     0.005,     0.005,     0.014,     0.016,     4.048,     4.359,     7.814,     9.821,     0.000,     0.000,     0.000,     0.000,   -46.527,   -17.221,   -74.625,    89.611,     31.51,  1016.887,   -30.238,    0.9469,    0.2419,   -0.2090,    0.0339,    29.169,   -24.346,    -2.324,     0.000,     0.000,     0.000,         0, idle,     0.000,     0.000,     0.014,     0.014, 2785,  01
19:08:48.632,   5698059,     0.005,     0.005,     0.014,     0.016,     4.048,     4.359,     7.814,     9.821,     0.000,     0.000,     0.000,     0.000,   -46.678,   -17.976,   -74.927,    90.089,     31.51,  1016.887,   -30.238,    0.9469,    0.2419,   -0.2090,    0.0339,    29.169,   -24.340,    -2.324,     0.000,     0.000,     0.000,         0, idle,     0.000,     0.000,     0.014,     0.014, 2785,  01
19:08:48.677,   5698092,     0.005,     0.005,     0.014,     0.016,     4.048,     4.359,     7.814,     9.821,     0.000,     0.000,     0.000,     0.000,   -46.678,   -17.221,   -74.776,    89.815,     31.51,  1016.887,   -30.238,    0.9469,    0.2419,   -0.2090,    0.0339,    29.163,   -24.340,    -2.324,     0.000,     0.000,     0.000,         0, idle,     0.000,     0.000,     0.014,     0.014, 2783,  01
19:08:48.707,   5698125,     0.005,     0.005,     0.014,     0.016,     4.048,     4.359,     7.814,     9.821,     0.000,     0.000,     0.000,     0.000,   -46.527,   -17.825,   -74.776,    89.855,     31.51,  1016.887,   -30.233,    0.9469,    0.2419,   -0.2090,    0.0339,    29.163,   -24.340,    -2.324,     0.000,     0.000,     0.000,         0, idle,     0.000,     0.000,     0.014,     0.014, 2783,  01
19:08:48.737,   5698158,     0.005,     0.005,     0.014,     0.016,     4.048,     4.359,     7.814,     9.821,     0.000,     0.000,     0.000,     0.000,   -46.527,   -17.372,   -74.625,    89.640,     31.51,  1016.887,   -30.233,    0.9469,    0.2419,   -0.2090,    0.0339,    29.163,   -24.340,    -2.324,     0.000,     0.000,     0.000,         0, idle,     0.000,     0.000,     0.014,     0.014, 2777,  01
19:08:48.767,   5698191,     0.005,     0.005,     0.014,     0.016,     4.048,     4.359,     7.814,     9.821,     0.000,     0.000,     0.000,     0.000,   -46.980,   -17.523,   -74.625,    89.906,     31.51,  1016.887,   -30.233,    0.9469,    0.2419,   -0.2090,    0.0339,    29.163,   -24.340,    -2.324,     0.000,     0.000,     0.000,         0, idle,     0.000,     0.000,     0.014,     0.014, 2786,  01
