        time, timestamp,  aX(m/s²),  aY(m/s²),  aZ(m/s²), |a|(m/s²),  Ax(m/s²),  Ay(m/s²),  Az(m/s²), |A|(m/s²),   Gx(°/s),   Gy(°/s),   Gz(°/s),G_abs(°/s),  MagX(uT),  MagY(uT),  MagZ(uT),Mag_abs(uT), THE(°C),Pressure(hPa),height(m),        w,         x,         y,         z, angleX(°), angleY(°), angleZ(°),offsetX(m),offsetY(m),offsetZ(m),     steps,state, asX(m/s²), asY(m/s²), asZ(m/s²),|as|(m/s²), ADC1,GPIO
20:38:38.017,  11086992,     0.005,     0.005,     0.014,     0.016,     4.048,     4.359,     7.819,     9.825,     0.000,     0.000,     0.000,     0.000,   -57.101,   -12.236,   -74.323,    94.521,     30.32,  1016.825,   -30.118,    0.9211,    0.2787,   -0.1563,    0.2225,    29.147,   -24.324,    20.742,     0.000,     0.000,     0.000,         9, idle,     0.000,     0.000,     0.019,     0.019, 2785,  01
20:38:38.046,  11087025,     0.005,     0.005,     0.014,     0.016,     4.048,     4.359,     7.819,     9.825,     0.000,     0.000,     0.000,     0.000,   -57.101,   -12.387,   -74.625,    94.778,     30.32,  1016.825,   -30.118,    0.9211,    0.2787,   -0.1563,    0.2225,    29.147,   -24.324,    20.742,     0.000,     0.000,     0.000,         9, idle,     0.000,     0.000,     0.019,     0.019, 2789,  01
20:38:38.091,  11087058,     0.005,     0.005,     0.014,     0.016,     4.048,     4.359,     7.819,     9.825,     0.000,     0.000,     0.000,     0.000,   -57.253,   -12.085,   -74.474,    94.711,     30.33,  1016.825,   -30.118,    0.9211,    0.2787,   -0.1563,    0.2225,    29.147,   -24.324,    20.742,     0.000,     0.000,     0.000,         9, idle,     0.000,     0.000,     0.019,     0.019, 2793,  01
20:38:38.122,  11087091,     0.005,     0.005,     0.014,     0.016,     4.048,     4.359,     7.819,     9.825,     0.000,     0.000,     0.000,     0.000,   -57.101,   -12.236,   -74.323,    94.521,     30.32,  1016.825,   -30.118,    0.9211,    0.2787,   -0.1563,    0.2225,    29.147,   -24.324,    20.742,     0.000,     0.000,     0.000,         9, idle,     0.000,     0.000,     0.019,     0.019, 2793,  01
20:38:38.166,  11087124,     0.005,     0.005,     0.014,     0.016,     4.048,     4.359,     7.819,     9.825,     0.000,     0.000,     0.000,     0.000,   -57.101,   -11.783,   -74.474,    94.582,     30.32,  1016.825,   -30.118,    0.9211,    0.2787,   -0.1563,    0.2225,    29.147,   -24.324,    20.742,     0.000,     0.000,     0.000,         9, idle,     0.000,     0.000,     0.019,     0.019, 2787,  01
20:38:38.182,  11087157,     0.005,     0.005,     0.014,     0.016,     4.048,     4.359,     7.819,     9.825,     0.000,     0.000,     0.000,     0.000,   -57.253,   -12.538,   -74.323,    94.651,     30.32,  1016.825,   -30.118,    0.9211,    0.2787,   -0.1563,    0.2225,    29.147,   -24.324,    20.742,     0.000,     0.000,     0.000,         9, idle,     0.000,     0.000,     0.019,     0.019, 2789,  01
20:38:38.212,  11087190,     0.005,     0.005,     0.014,     0.016,     4.043,     4.359,     7.819,     9.823,     0.000,     0.000,     0.000,     0.000,   -57.253,   -11.934,   -74.323,    94.573,     30.32,  1016.825,   -30.118,    0.9211,    0.2787,   -0.1563,    0.2225,    29.147,   -24.324,    20.742,     0.000,     0.000,     0.000,         9, idle,     0.000,     0.000,     0.019,     0.019, 2790,  01
20:38:38.257,  11087223,     0.005,     0.005,     0.014,     0.016,     4.043,     4.359,     7.819,     9.823,     0.000,     0.000,     0.000,     0.000,   -56.950,   -12.236,   -74.323,    94.429,     30.32,  1016.825,   -30.118,    0.9211,    0.2787,   -0.1563,    0.2225,    29.147,   -24.324,    20.748,     0.000,     0.000,     0.000,         9, idle,     0.000,     0.000,     0.019,     0.019, 2790,  01
20:38:38.287,  11087256,     0.005,     0.005,     0.014,     0.016,     4.043,     4.359,     7.819,     9.823,     0.000,     0.000,     0.000,     0.000,   -56.950,   -11.934,   -74.171,    94.272,     30.32,  1016.825,   -30.122,    0.9211,    0.2787,   -0.1563,    0.2225,    29.147,   -24.324,    20.748,     0.000,     0.000,     0.000,         9, idle,     0.000,     0.000,     0.019,     0.019, 2793,  01
20:38:38.317,  11087289,     0.005,     0.005,     0.014,     0.016,     4.043,     4.359,     7.819,     9.823,     0.000,     0.000,     0.000,     0.000,   -56.950,   -12.085,   -74.323,    94.410,     30.32,  1016.825,   -30.122,    0.9211,    0.2787,   -0.1563,    0.2225,    29.147,   -24.324,    20.748,     0.000,     0.000,     0.000,         9, idle,     0.000,     0.000,     0.019,     0.019, 2790,  01
20:38:38.347,  11087322,     0.005,     0.005,     0.014,     0.016,     4.048,     4.359,     7.819,     9.825,     0.000,     0.000,     0.000,     0.000,   -57.101,   -12.236,   -74.323,    94.521,     30.32,  1016.825,   -30.122,    0.9211,    0.2787,   -0.1563,    0.2225,    29.147,   -24.324,    20.748,     0.000,     0.000,     0.000,         9, idle,     0.000,     0.000,     0.019,     0.019, 2779,  01
20:38:38.377,  11087355,     0.005,     0.005,     0.014,     0.016,     4.043,     4.359,     7.819,     9.823,     0.000,     0.000,     0.000,     0.000,   -57.253,   -12.085,   -74.625,    94.830,     30.32,  1016.825,   -30.122,    0.9211,    0.2787,   -0.1563,    0.2225,    29.147,   -24.324,    20.748,     0.000,     0.000,     0.000,         9, idle,     0.000,     0.000,     0.019,     0.019, 2787,  01
20:38:38.422,  11087388,     0.005,     0.005,     0.014,     0.016,     4.043,     4.359,     7.819,     9.823,     0.000,     0.000,     0.000,     0.000,   -57.101,   -12.387,   -74.474,    94.659,     30.32,  1016.825,   -30.122,    0.9211,    0.2787,   -0.1563,    0.2225,    29.147,   -24.324,    20.748,     0.000,     0.000,     0.000,         9, idle,     0.000,     0.000,     0.019,     0.019, 2785,  01
20:38:38.452,  11087421,     0.005,     0.005,     0.014,     0.016,     4.043,     4.359,     7.819,     9.823,     0.000,     0.000,     0.000,     0.000,   -57.253,   -11.934,   -74.474,    94.692,     30.32,  1016.825,   -30.122,    0.9211,    0.2787,   -0.1563,    0.2225,    29.147,   -24.324,    20.748,     0.000,     0.000,     0.000,         9, idle,     0.000,     0.000,     0.019,     0.019, 2787,  01
20:38:38.482,  11087454,     0.005,     0.005,     0.014,     0.016,     4.043,     4.359,     7.819,     9.823,     0.000,     0.000,     0.000,     0.000,   -57.253,   -12.236,   -74.625,    94.849,     30.32,  1016.825,   -30.122,    0.9211,    0.2787,   -0.1563,    0.2225,    29.147,   -24.324,    20.748,     0.000,     0.000,     0.000,         9, idle,     0.000,     0.000,     0.019,     0.019, 2791,  01
20:38:38.512,  11087487,     0.005,     0.005,     0.014,     0.016,     4.043,     4.359,     7.819,     9.823,     0.000,     0.000,     0.000,     0.000,   -57.253,   -12.085,   -74.323,    94.592,     30.32,  1016.826,   -30.122,    0.9211,    0.2787,   -0.1563,    0.2225,    29.147,   -24.324,    20.748,     0.000,     0.000,     0.000,         9, idle,     0.000,     0.000,     0.019,     0.019, 2787,  01
20:38:38.541,  11087520,     0.005,     0.005,     0.014,     0.016,     4.043,     4.359,     7.819,     9.823,     0.000,     0.000,     0.000,     0.000,   -56.950,   -12.085,   -74.171,    94.291,     30.33,  1016.826,   -30.122,    0.9211,    0.2787,   -0.1563,    0.2225,    29.147,   -24.324,    20.748,     0.000,     0.000,     0.000,         9, idle,     0.000,     0.000,     0.019,     0.019, 2790,  01
20:38:38.587,  11087553,     0.005,     0.005,     0.014,     0.016,     4.043,     4.359,     7.819,     9.823,     0.000,     0.000,     0.000,     0.000,   -57.404,   -12.387,   -74.927,    95.198,     30.32,  1016.826,   -30.128,    0.9211,    0.2787,   -0.1563,    0.2225,    29.147,   -24.324,    20.748,     0.000,     0.000,     0.000,         9, idle,     0.000,     0.000,     0.019,     0.019, 2790,  01
