        time, timestamp,  aX(m/s²),  aY(m/s²),  aZ(m/s²), |a|(m/s²),  Ax(m/s²),  Ay(m/s²),  Az(m/s²), |A|(m/s²),   Gx(°/s),   Gy(°/s),   Gz(°/s),G_abs(°/s),  MagX(uT),  MagY(uT),  MagZ(uT),Mag_abs(uT), THE(°C),Pressure(hPa),height(m),        w,         x,         y,         z, angleX(°), angleY(°), angleZ(°),offsetX(m),offsetY(m),offsetZ(m),     steps,state, asX(m/s²), asY(m/s²), asZ(m/s²),|as|(m/s²), ADC1,GPIO
20:39:48.682,  11157645,     0.005,     0.010,     0.014,     0.018,     4.043,     4.359,     7.819,     9.823,     0.000,     0.000,     0.000,     0.000,   -57.253,   -13.142,   -74.020,    94.497,     30.31,  1016.833,   -30.187,    0.9211,    0.2786,   -0.1562,    0.2224,    29.136,   -24.313,    20.742,     0.000,     0.000,     0.000,         9, idle,     0.000,     0.000,     0.019,     0.019, 2793,  01
20:39:48.713,  11157678,     0.005,     0.010,     0.014,     0.018,     4.043,     4.359,     7.819,     9.823,     0.000,     0.000,     0.000,     0.000,   -57.101,   -12.840,   -74.020,    94.363,     30.31,  1016.833,   -30.181,    0.9211,    0.2786,   -0.1562,    0.2224,    29.141,   -24.313,    20.742,     0.000,     0.000,     0.000,         9, idle,     0.000,     0.000,     0.019,     0.019, 2790,  01
20:39:48.742,  11157711,     0.005,     0.010,     0.014,     0.018,     4.043,     4.359,     7.819,     9.823,     0.000,     0.000,     0.000,     0.000,   -57.555,   -12.991,   -74.020,    94.659,     30.31,  1016.833,   -30.181,    0.9211,    0.2786,   -0.1562,    0.2224,    29.141,   -24.313,    20.742,     0.000,     0.000,     0.000,         9, idle,     0.000,     0.000,     0.019,     0.019, 2790,  01
20:39:48.772,  11157744,     0.005,     0.010,     0.014,     0.018,     4.043,     4.359,     7.819,     9.823,     0.000,     0.000,     0.000,     0.000,   -57.253,   -12.840,   -74.020,    94.455,     30.31,  1016.832,   -30.181,    0.9211,    0.2786,   -0.1562,    0.2224,    29.141,   -24.313,    20.742,     0.000,     0.000,     0.000,         9, idle,     0.000,     0.000,     0.019,     0.019, 2790,  01
20:39:48.817,  11157777,     0.005,     0.005,     0.014,     0.016,     4.043,     4.359,     7.819,     9.823,     0.000,     0.000,     0.000,     0.000,   -57.253,   -13.142,   -74.020,    94.497,     30.31,  1016.832,   -30.181,    0.9211,    0.2786,   -0.1562,    0.2224,    29.141,   -24.313,    20.742,     0.000,     0.000,     0.000,         9, idle,     0.000,     0.000,     0.019,     0.019, 2790,  01
20:39:48.847,  11157810,     0.005,     0.005,     0.014,     0.016,     4.043,     4.359,     7.819,     9.823,     0.000,     0.000,     0.000,     0.000,   -57.404,   -13.142,   -74.171,    94.706,     30.31,  1016.832,   -30.181,    0.9211,    0.2786,   -0.1562,    0.2224,    29.141,   -24.313,    20.737,     0.000,     0.000,     0.000,         9, idle,     0.000,     0.000,     0.019,     0.019, 2786,  01
20:39:48.878,  11157843,     0.005,     0.005,     0.014,     0.016,     4.043,     4.359,     7.819,     9.823,     0.000,     0.000,     0.000,     0.000,   -57.253,   -12.991,   -74.171,    94.594,     30.31,  1016.832,   -30.176,    0.9211,    0.2786,   -0.1562,    0.2224,    29.141,   -24.313,    20.737,     0.000,     0.000,     0.000,         9, idle,     0.000,     0.000,     0.019,     0.019, 2779,  01
20:39:48.907,  11157876,     0.005,     0.005,     0.014,     0.016,     4.043,     4.359,     7.819,     9.823,     0.000,     0.000,     0.000,     0.000,   -56.799,   -12.991,   -73.869,    94.083,     30.31,  1016.832,   -30.176,    0.9211,    0.2786,   -0.1562,    0.2224,    29.141,   -24.313,    20.737,     0.000,     0.000,     0.000,         9, idle,     0.000,     0.000,     0.019,     0.019, 2784,  01
20:39:48.937,  11157909,     0.005,     0.005,     0.014,     0.016,     4.043,     4.359,     7.819,     9.823,     0.000,     0.000,     0.000,     0.000,   -56.950,   -12.689,   -73.869,    94.133,     30.31,  1016.832,   -30.176,    0.9211,    0.2786,   -0.1562,    0.2224,    29.141,   -24.313,    20.737,     0.000,     0.000,     0.000,         9, idle,     0.000,     0.000,     0.019,     0.019, 2793,  01
20:39:48.967,  11157942,     0.005,     0.010,     0.014,     0.018,     4.043,     4.359,     7.819,     9.823,     0.000,     0.000,     0.000,     0.000,   -57.555,   -12.689,   -74.323,    94.855,     30.31,  1016.831,   -30.171,    0.9211,    0.2786,   -0.1562,    0.2224,    29.141,   -24.313,    20.737,     0.000,     0.000,     0.000,         9, idle,     0.000,     0.000,     0.019,     0.019, 2791,  01
