        time, timestamp,  aX(m/s²),  aY(m/s²),  aZ(m/s²), |a|(m/s²),  Ax(m/s²),  Ay(m/s²),  Az(m/s²), |A|(m/s²),   Gx(°/s),   Gy(°/s),   Gz(°/s),G_abs(°/s),  MagX(uT),  MagY(uT),  MagZ(uT),Mag_abs(uT), THE(°C),Pressure(hPa),height(m),        w,         x,         y,         z, angleX(°), angleY(°), angleZ(°),offsetX(m),offsetY(m),offsetZ(m),     steps,state, asX(m/s²), asY(m/s²), asZ(m/s²),|as|(m/s²), ADC1,GPIO
16:05:19.755,    194660,    -0.057,    -0.053,     0.057,     0.097,    -4.752,    -4.637,     7.345,     9.901,     0.000,     0.000,     0.000,     0.000,     3.474,    53.023,   -60.274,    80.352,     26.63,  1006.972,    52.395,    0.9334,   -0.2465,    0.2601,   -0.0144,   -32.179,    28.592,   -10.173,     0.000,     0.000,     0.000,         0, idle,    -0.014,    -0.005,     0.096,     0.097, 2756,  01
16:05:19.815,    194693,    -0.057,    -0.053,     0.062,     0.100,    -4.752,    -4.637,     7.345,     9.901,     0.000,     0.000,     0.000,     0.000,     3.928,    52.872,   -60.274,    80.273,     26.63,  1006.972,    52.395,    0.9334,   -0.2465,    0.2602,   -0.0143,   -32.184,    28.597,   -10.173,     0.000,     0.000,     0.000,         0, idle,    -0.014,    -0.005,     0.096,     0.097, 2736,  01
16:05:19.830,    194726,    -0.057,    -0.048,     0.062,     0.097,    -4.752,    -4.637,     7.345,     9.901,     0.000,     0.000,     0.000,     0.000,     3.777,    53.023,   -60.425,    80.479,     26.63,  1006.972,    52.395,    0.9334,   -0.2465,    0.2602,   -0.0143,   -32.184,    28.597,   -10.173,     0.000,     0.000,     0.000,         0, idle,    -0.014,    -0.005,     0.096,     0.097, 2747,  01
16:05:19.860,    194759,    -0.057,    -0.048,     0.062,     0.097,    -4.752,    -4.637,     7.345,     9.901,     0.000,     0.000,     0.000,     0.000,     3.928,    53.476,   -59.972,    80.447,     26.63,  1006.972,    52.395,    0.9334,   -0.2465,    0.2603,   -0.0143,   -32.190,    28.603,   -10.179,     0.000,     0.000,     0.000,         0, idle,    -0.014,    -0.005,     0.096,     0.097, 2749,  01
16:05:19.890,    194792,    -0.057,    -0.048,     0.062,     0.097,    -4.752,    -4.637,     7.345,     9.901,     0.000,     0.000,     0.000,     0.000,     3.928,    53.627,   -60.123,    80.660,     26.63,  1006.972,    52.395,    0.9334,   -0.2466,    0.2603,   -0.0143,   -32.195,    28.608,   -10.179,     0.000,     0.000,     0.000,         0, idle,    -0.014,    -0.005,     0.096,     0.097, 2750,  01
16:05:19.920,    194825,    -0.057,    -0.048,     0.062,     0.097,    -4.752,    -4.637,     7.345,     9.901,     0.000,     0.000,     0.000,     0.000,     3.474,    53.325,   -60.123,    80.439,     26.63,  1006.972,    52.395,    0.9334,   -0.2466,    0.2603,   -0.0143,   -32.195,    28.608,   -10.179,     0.000,     0.000,     0.000,         0, idle,    -0.010,    -0.005,     0.096,     0.096, 2750,  01
16:05:19.965,    194858,    -0.057,    -0.048,     0.062,     0.097,    -4.752,    -4.637,     7.345,     9.901,     0.000,     0.000,     0.000,     0.000,     4.079,    53.325,   -60.274,    80.580,     26.62,  1006.972,    52.395,    0.9333,   -0.2466,    0.2603,   -0.0143,   -32.201,    28.614,   -10.179,     0.000,     0.000,     0.000,         0, idle,    -0.010,    -0.005,     0.096,     0.096, 2750,  01
16:05:19.994,    194891,    -0.057,    -0.048,     0.062,     0.097,    -4.752,    -4.637,     7.345,     9.901,     0.000,     0.000,     0.000,     0.000,     4.079,    53.325,   -60.274,    80.580,     26.62,  1006.972,    52.395,    0.9333,   -0.2466,    0.2604,   -0.0143,   -32.201,    28.619,   -10.184,     0.000,     0.000,     0.000,         0, idle,    -0.010,    -0.005,     0.096,     0.096, 2753,  01
16:05:20.025,    194924,    -0.053,    -0.048,     0.062,     0.094,    -4.752,    -4.637,     7.345,     9.901,     0.000,     0.000,     0.000,     0.000,     3.928,    53.325,   -60.274,    80.572,     26.63,  1006.972,    52.395,    0.9333,   -0.2466,    0.2604,   -0.0143,   -32.206,    28.619,   -10.184,     0.000,     0.000,     0.000,         0, idle,    -0.010,    -0.005,     0.096,     0.096, 2756,  01
16:05:20.055,    194957,    -0.053,    -0.048,     0.062,     0.094,    -4.752,    -4.637,     7.345,     9.901,     0.000,     0.000,     0.000,     0.000,     4.079,    53.476,   -60.123,    80.567,     26.62,  1006.972,    52.395,    0.9333,   -0.2466,    0.2604,   -0.0143,   -32.206,    28.625,   -10.184,     0.000,     0.000,     0.000,         0, idle,    -0.010,    -0.005,     0.096,     0.096, 2756,  01
16:05:20.085,    194990,    -0.053,    -0.048,     0.062,     0.094,    -4.752,    -4.637,     7.345,     9.901,     0.000,     0.000,     0.000,     0.000,     4.079,    53.023,   -60.123,    80.267,     26.62,  1006.973,    52.393,    0.9333,   -0.2466,    0.2605,   -0.0143,   -32.212,    28.625,   -10.184,     0.000,     0.000,     0.000,         0, idle,    -0.010,    -0.005,     0.096,     0.096, 2755,  01
