        time, timestamp,  aX(m/s²),  aY(m/s²),  aZ(m/s²), |a|(m/s²),  Ax(m/s²),  Ay(m/s²),  Az(m/s²), |A|(m/s²),   Gx(°/s),   Gy(°/s),   Gz(°/s),G_abs(°/s),  MagX(uT),  MagY(uT),  MagZ(uT),Mag_abs(uT), THE(°C),Pressure(hPa),height(m),        w,         x,         y,         z, angleX(°), angleY(°), angleZ(°),offsetX(m),offsetY(m),offsetZ(m),     steps,state, asX(m/s²), asY(m/s²), asZ(m/s²),|as|(m/s²), ADC1,GPIO
16:05:42.735,    217628,    -0.043,    -0.043,     0.072,     0.094,    -4.742,    -4.627,     7.360,     9.903,     0.000,     0.000,     0.000,     0.000,     3.777,    52.872,   -60.576,    80.493,     26.71,  1006.915,    52.874,    0.9334,   -0.2465,    0.2604,   -0.0143,   -32.184,    28.625,   -10.173,     0.000,     0.000,     0.000,         0, idle,     0.000,     0.000,     0.096,     0.096, 2758,  01
16:05:42.765,    217661,    -0.043,    -0.043,     0.072,     0.094,    -4.742,    -4.632,     7.360,     9.905,     0.000,     0.000,     0.000,     0.000,     3.928,    53.023,   -60.727,    80.713,     26.71,  1006.915,    52.874,    0.9334,   -0.2465,    0.2604,   -0.0143,   -32.184,    28.625,   -10.173,     0.000,     0.000,     0.000,         0, idle,     0.000,     0.000,     0.096,     0.096, 2742,  01
16:05:42.795,    217694,    -0.043,    -0.043,     0.072,     0.094,    -4.742,    -4.632,     7.360,     9.905,     0.000,     0.000,     0.000,     0.000,     3.928,    53.325,   -60.425,    80.685,     26.71,  1006.915,    52.874,    0.9334,   -0.2465,    0.2604,   -0.0143,   -32.184,    28.625,   -10.173,     0.000,     0.000,     0.000,         0, idle,     0.000,     0.000,     0.096,     0.096, 2734,  01
16:05:42.825,    217727,    -0.043,    -0.043,     0.072,     0.094,    -4.742,    -4.632,     7.360,     9.905,     0.000,     0.000,     0.000,     0.000,     3.928,    53.174,   -60.425,    80.586,     26.71,  1006.915,    52.874,    0.9334,   -0.2465,    0.2604,   -0.0143,   -32.184,    28.625,   -10.173,     0.000,     0.000,     0.000,         0, idle,     0.000,     0.000,     0.096,     0.096, 2738,  01
16:05:42.855,    217760,    -0.043,    -0.043,     0.072,     0.094,    -4.742,    -4.632,     7.360,     9.905,     0.000,     0.000,     0.000,     0.000,     3.777,    53.023,   -60.274,    80.365,     26.71,  1006.915,    52.874,    0.9334,   -0.2465,    0.2604,   -0.0143,   -32.184,    28.625,   -10.173,     0.000,     0.000,     0.000,         0, idle,     0.000,     0.000,     0.096,     0.096, 2740,  01
16:05:42.900,    217793,    -0.043,    -0.043,     0.072,     0.094,    -4.742,    -4.632,     7.360,     9.905,     0.000,     0.000,     0.000,     0.000,     3.777,    53.023,   -60.274,    80.365,     26.71,  1006.915,    52.877,    0.9334,   -0.2465,    0.2604,   -0.0143,   -32.184,    28.625,   -10.173,     0.000,     0.000,     0.000,         0, idle,     0.000,     0.000,     0.096,     0.096, 2743,  01
16:05:42.930,    217826,    -0.043,    -0.043,     0.072,     0.094,    -4.742,    -4.632,     7.355,     9.901,     0.000,     0.000,     0.000,     0.000,     3.928,    52.872,   -60.425,    80.387,     26.71,  1006.915,    52.877,    0.9334,   -0.2465,    0.2604,   -0.0143,   -32.184,    28.625,   -10.173,     0.000,     0.000,     0.000,         0, idle,     0.000,     0.000,     0.096,     0.096, 2749,  01
16:05:42.960,    217859,    -0.043,    -0.043,     0.072,     0.094,    -4.742,    -4.632,     7.355,     9.901,     0.000,     0.000,     0.000,     0.000,     4.079,    53.174,   -60.274,    80.480,     26.71,  1006.915,    52.877,    0.9334,   -0.2465,    0.2604,   -0.0143,   -32.184,    28.619,   -10.173,     0.000,     0.000,     0.000,         0, idle,     0.000,     0.000,     0.096,     0.096, 2749,  01
16:05:42.990,    217892,    -0.043,    -0.048,     0.072,     0.096,    -4.742,    -4.632,     7.355,     9.901,     0.000,     0.000,     0.000,     0.000,     4.079,    53.174,   -60.274,    80.480,     26.70,  1006.915,    52.877,    0.9334,   -0.2465,    0.2604,   -0.0143,   -32.184,    28.619,   -10.173,     0.000,     0.000,     0.000,         0, idle,     0.000,     0.000,     0.096,     0.096, 2748,  01
16:05:43.020,    217925,    -0.043,    -0.043,     0.072,     0.094,    -4.742,    -4.632,     7.355,     9.901,     0.000,     0.000,     0.000,     0.000,     4.079,    52.872,   -60.425,    80.394,     26.70,  1006.915,    52.877,    0.9334,   -0.2465,    0.2604,   -0.0143,   -32.184,    28.619,   -10.173,     0.000,     0.000,     0.000,         0, idle,     0.000,     0.000,     0.096,     0.096, 2746,  01
