        time, timestamp,  aX(m/s²),  aY(m/s²),  aZ(m/s²), |a|(m/s²),  Ax(m/s²),  Ay(m/s²),  Az(m/s²), |A|(m/s²),   Gx(°/s),   Gy(°/s),   Gz(°/s),G_abs(°/s),  MagX(uT),  MagY(uT),  MagZ(uT),Mag_abs(uT), THE(°C),Pressure(hPa),height(m),        w,         x,         y,         z, angleX(°), angleY(°), angleZ(°),offsetX(m),offsetY(m),offsetZ(m),     steps,state, asX(m/s²), asY(m/s²), asZ(m/s²),|as|(m/s²), ADC1,GPIO
16:08:05.369,    360254,    -0.033,    -0.010,     0.062,     0.071,    -5.101,    -4.603,     7.092,     9.874,     0.183,    -0.427,    -0.122,     0.481,    21.451,    63.144,   -53.325,    85.386,     26.85,  1007.078,    51.513,    0.9105,   -0.2998,    0.2274,    0.1711,   -33.146,    31.108,    11.816,     0.000,     0.000,     0.000,        40, idle,     0.000,     0.024,     0.072,     0.076, 2760,  01
16:08:05.399,    360287,    -0.053,    -0.043,     0.077,     0.102,    -5.115,    -4.637,     7.106,     9.908,     0.244,    -0.610,    -0.366,     0.752,    21.602,    63.446,   -53.325,    85.648,     26.85,  1007.076,    51.524,    0.9106,   -0.2997,    0.2272,    0.1711,   -33.140,    31.091,    11.821,     0.000,     0.000,     0.000,        40, idle,     0.000,     0.000,     0.100,     0.100, 2761,  01
16:08:05.444,    360320,     0.029,    -0.029,     0.124,     0.131,    -5.029,    -4.622,     7.159,     9.895,     0.000,    -0.122,     0.000,     0.122,    21.451,    63.446,   -53.325,    85.610,     26.85,  1007.076,    51.524,    0.9107,   -0.2997,    0.2270,    0.1711,   -33.129,    31.064,    11.821,     0.000,     0.000,     0.000,        40, idle,     0.077,     0.057,     0.091,     0.132, 2764,  01
16:08:05.474,    360353,    -0.024,    -0.033,     0.096,     0.104,    -5.106,    -4.646,     7.116,     9.914,    -0.061,     0.305,     0.061,     0.317,    21.300,    63.446,   -53.174,    85.478,     26.85,  1007.076,    51.526,    0.9107,   -0.2997,    0.2270,    0.1711,   -33.135,    31.064,    11.827,     0.000,     0.000,     0.000,        40, idle,     0.024,     0.024,     0.100,     0.106, 2759,  01
16:08:05.489,    360386,    -0.067,    -0.048,     0.057,     0.100,    -5.130,    -4.642,     7.092,     9.907,     0.244,    -0.244,    -0.183,     0.391,    21.602,    63.446,   -53.174,    85.554,     26.85,  1007.075,    51.535,    0.9107,   -0.2997,    0.2270,    0.1711,   -33.129,    31.069,    11.821,     0.000,     0.000,     0.000,        40, idle,    -0.014,    -0.010,     0.100,     0.102, 2760,  01
16:08:05.564,    360419,    -0.029,    -0.043,     0.081,     0.096,    -5.087,    -4.632,     7.116,     9.897,     0.244,    -0.061,    -0.061,     0.259,    20.998,    62.993,   -53.476,    85.257,     26.85,  1007.074,    51.548,    0.9107,   -0.2996,    0.2270,    0.1710,   -33.124,    31.058,    11.821,     0.000,     0.000,     0.000,        40, idle,     0.019,     0.010,     0.091,     0.093, 2762,  01
16:08:05.566,    360452,    -0.014,    -0.033,     0.086,     0.094,    -5.072,    -4.622,     7.120,     9.889,     0.061,    -0.122,    -0.122,     0.183,    21.149,    63.597,   -53.325,    85.647,     26.85,  1007.073,    51.555,    0.9108,   -0.2996,    0.2269,    0.1710,   -33.113,    31.047,    11.821,     0.000,     0.000,     0.000,        40, idle,     0.029,     0.024,     0.086,     0.094, 2764,  01
16:08:05.594,    360485,    -0.024,    -0.048,     0.067,     0.086,    -5.082,    -4.637,     7.106,     9.890,     0.061,    -0.183,    -0.061,     0.202,    21.300,    63.144,   -53.325,    85.349,     26.85,  1007.071,    51.564,    0.9108,   -0.2995,    0.2268,    0.1710,   -33.113,    31.036,    11.821,     0.000,     0.000,     0.000,        40, idle,     0.019,     0.000,     0.086,     0.088, 2764,  01
16:08:05.624,    360518,    -0.029,    -0.048,     0.086,     0.103,    -5.077,    -4.632,     7.135,     9.906,     0.122,    -0.244,    -0.183,     0.329,    21.300,    63.597,   -53.476,    85.778,     26.85,  1007.071,    51.564,    0.9109,   -0.2995,    0.2267,    0.1709,   -33.107,    31.025,    11.821,     0.000,     0.000,     0.000,        40, idle,     0.019,     0.010,     0.100,     0.103, 2766,  01
16:08:05.654,    360551,     0.019,    -0.033,     0.120,     0.126,    -5.029,    -4.622,     7.159,     9.895,    -0.183,     0.549,     0.244,     0.628,    20.998,    63.295,   -53.476,    85.480,     26.84,  1007.071,    51.564,    0.9109,   -0.2995,    0.2267,    0.1709,   -33.107,    31.025,    11.821,     0.000,     0.000,     0.000,        40, idle,     0.072,     0.053,     0.091,     0.127, 2767,  01
16:08:05.698,    360584,    -0.010,    -0.029,     0.091,     0.096,    -5.067,    -4.618,     7.125,     9.888,    -0.366,     0.916,     0.305,     1.032,    21.300,    63.446,   -53.325,    85.572,     26.84,  1007.071,    51.569,    0.9108,   -0.2996,    0.2269,    0.1710,   -33.118,    31.047,    11.816,     0.000,     0.000,     0.000,        40, idle,     0.029,     0.029,     0.081,     0.091, 2766,  01
16:08:05.729,    360617,    -0.057,    -0.072,     0.077,     0.120,    -5.120,    -4.666,     7.111,     9.927,    -0.244,     0.671,     0.305,     0.777,    21.753,    63.597,   -53.174,    85.704,     26.85,  1007.071,    51.571,    0.9107,   -0.2997,    0.2271,    0.1710,   -33.135,    31.069,    11.810,     0.000,     0.000,     0.000,        40, idle,     0.005,    -0.014,     0.124,     0.125, 2764,  01
16:08:05.759,    360650,    -0.225,    -0.110,    -0.010,     0.251,    -5.288,    -4.704,     7.015,     9.965,     0.305,    -0.916,    -0.305,     1.012,    21.300,    63.446,   -53.325,    85.572,     26.84,  1007.070,    51.577,    0.9106,   -0.2997,    0.2271,    0.1710,   -33.140,    31.080,    11.810,     0.000,     0.000,     0.000,        40, idle,    -0.139,    -0.134,     0.158,     0.249, 2764,  01
16:08:05.789,    360683,    -0.014,    -0.043,     0.086,     0.097,    -5.048,    -4.622,     7.144,     9.894,     0.610,    -1.831,    -0.793,     2.087,    21.300,    63.446,   -53.023,    85.384,     26.84,  1007.071,    51.571,    0.9108,   -0.2996,    0.2267,    0.1709,   -33.118,    31.025,    11.816,     0.000,     0.000,     0.000,        40, idle,     0.029,     0.014,     0.096,     0.101, 2750,  01
16:08:05.834,    360716,     0.081,    -0.005,     0.134,     0.157,    -4.962,    -4.599,     7.178,     9.864,     0.122,    -0.854,    -0.366,     0.938,    21.300,    62.993,   -53.325,    85.237,     26.84,  1007.071,    51.571,    0.9110,   -0.2993,    0.2262,    0.1708,   -33.091,    30.959,    11.832,     0.000,     0.000,     0.000,        40, idle,     0.110,     0.091,     0.057,     0.154, 2752,  01
16:08:05.864,    360749,    -0.024,    -0.053,     0.086,     0.104,    -5.067,    -4.646,     7.135,     9.908,     0.122,    -0.549,    -0.244,     0.613,    21.300,    63.446,   -53.476,    85.667,     26.84,  1007.071,    51.571,    0.9111,   -0.2993,    0.2260,    0.1707,   -33.080,    30.927,    11.832,     0.000,     0.000,     0.000,        40, idle,     0.029,     0.005,     0.105,     0.109, 2757,  01
16:08:05.894,    360782,     0.005,    -0.014,     0.096,     0.097,    -5.029,    -4.608,     7.144,     9.878,     0.000,    -0.244,    -0.122,     0.273,    21.149,    62.993,   -53.325,    85.199,     26.84,  1007.070,    51.577,    0.9112,   -0.2993,    0.2258,    0.1707,   -33.080,    30.910,    11.832,     0.000,     0.000,     0.000,        40, idle,     0.043,     0.048,     0.072,     0.096, 2759,  01
16:08:05.924,    360815,    -0.057,    -0.067,     0.057,     0.105,    -5.096,    -4.661,     7.106,     9.909,     0.061,    -0.122,    -0.427,     0.449,    21.300,    63.144,   -53.476,    85.443,     26.84,  1007.068,    51.595,    0.9112,   -0.2993,    0.2257,    0.1707,   -33.080,    30.894,    11.832,     0.000,     0.000,     0.000,        40, idle,     0.000,    -0.024,     0.105,     0.108, 2761,  01
16:08:05.969,    360848,     0.019,    -0.024,     0.115,     0.119,    -4.996,    -4.651,     7.173,     9.902,    -0.549,     0.610,     0.000,     0.821,    21.451,    63.295,   -53.325,    85.498,     26.84,  1007.066,    51.608,    0.9112,   -0.2994,    0.2256,    0.1706,   -33.096,    30.888,    11.821,     0.000,     0.000,     0.000,        40, idle,     0.062,     0.057,     0.081,     0.117, 2764,  01
16:08:05.984,    360881,    -0.062,    -0.096,     0.057,     0.128,    -5.101,    -4.694,     7.106,     9.927,    -0.305,     0.488,     0.000,     0.576,    20.998,    63.446,   -53.325,    85.498,     26.84,  1007.065,    51.619,    0.9111,   -0.2996,    0.2257,    0.1706,   -33.124,    30.899,    11.810,     0.000,     0.000,     0.000,        40, idle,     0.005,    -0.043,     0.124,     0.132, 2764,  01
16:08:06.029,    360914,    -0.335,    -0.077,    -0.067,     0.350,    -5.369,    -4.675,     6.977,     9.968,     0.610,    -2.747,    -1.526,     3.201,    21.300,    63.446,   -53.023,    85.384,     26.84,  1007.064,    51.627,    0.9112,   -0.2996,    0.2255,    0.1705,   -33.129,    30.872,    11.799,     0.000,     0.000,     0.000,        40, idle,    -0.268,    -0.158,     0.158,     0.349, 2762,  01
16:08:06.089,    360947,    -0.464,    -0.096,    -0.144,     0.495,    -5.474,    -4.699,     6.915,     9.993,     2.258,    -8.728,    -4.028,     9.875,    20.847,    63.597,   -53.325,    85.573,     26.84,  1007.064,    51.627,    0.9117,   -0.2992,    0.2242,    0.1702,   -33.080,    30.701,    11.821,     0.000,     0.000,     0.000,        40, idle,    -0.392,    -0.249,     0.177,     0.497, 2762,  01
16:08:06.090,    360980,    -0.096,    -0.043,     0.077,     0.130,    -5.039,    -4.646,     7.183,     9.928,     3.174,   -13.123,    -5.737,    14.669,    20.847,    63.748,   -53.476,    85.779,     26.84,  1007.064,    51.627,    0.9130,   -0.2982,    0.2207,    0.1696,   -32.937,    30.273,    11.904,     0.000,     0.000,     0.000,        40, idle,    -0.038,     0.000,     0.124,     0.130, 2764,  01
16:08:06.119,    361013,     0.349,    -0.048,     0.278,     0.449,    -4.546,    -4.661,     7.407,     9.862,     1.831,    -7.751,    -3.418,     8.667,    20.393,    63.295,   -53.778,    85.523,     26.84,  1007.065,    51.622,    0.9143,   -0.2971,    0.2173,    0.1690,   -32.816,    29.894,    11.970,     0.000,     0.000,     0.000,        40, idle,     0.402,     0.196,     0.048,     0.450, 2764,  01
16:08:06.164,    361046,     0.163,     0.005,     0.144,     0.217,    -4.685,    -4.599,     7.312,     9.826,     0.793,    -4.211,    -1.831,     4.660,    20.091,    63.597,   -54.080,    85.866,     26.84,  1007.065,    51.622,    0.9149,   -0.2967,    0.2156,    0.1688,   -32.739,    29.647,    12.008,     0.000,     0.000,     0.000,        40, idle,     0.177,     0.124,     0.019,     0.217, 2764,  01
16:08:06.194,    361079,     0.010,    -0.053,     0.086,     0.101,    -4.809,    -4.666,     7.273,     9.889,     0.671,    -5.554,    -2.197,     6.011,    19.940,    63.144,   -54.231,    85.591,     26.84,  1007.065,    51.619,    0.9154,   -0.2963,    0.2141,    0.1685,   -32.695,    29.454,    12.047,     0.000,     0.000,     0.000,        40, idle,     0.057,     0.014,     0.086,     0.105, 2762,  01
16:08:06.254,    361112,     0.019,    -0.010,     0.129,     0.131,    -4.771,    -4.627,     7.331,     9.895,     0.610,    -5.127,    -2.563,     5.765,    19.940,    63.748,   -54.080,    85.942,     26.84,  1007.065,    51.622,    0.9158,   -0.2961,    0.2124,    0.1685,   -32.662,    29.268,    12.090,     0.000,     0.000,     0.000,        40, idle,     0.062,     0.072,     0.091,     0.131, 2761,  01
