        time, timestamp,  aX(m/s²),  aY(m/s²),  aZ(m/s²), |a|(m/s²),  Ax(m/s²),  Ay(m/s²),  Az(m/s²), |A|(m/s²),   Gx(°/s),   Gy(°/s),   Gz(°/s),G_abs(°/s),  MagX(uT),  MagY(uT),  MagZ(uT),Mag_abs(uT), THE(°C),Pressure(hPa),height(m),        w,         x,         y,         z, angleX(°), angleY(°), angleZ(°),offsetX(m),offsetY(m),offsetZ(m),     steps,state, asX(m/s²), asY(m/s²), asZ(m/s²),|as|(m/s²), ADC1,GPIO
20:31:22.315,  12171106,    -0.010,    -0.057,     0.000,     0.058,    -1.756,    -9.700,     0.440,     9.867,     0.000,     0.000,     0.000,     0.000,    24.170,    84.293,   -41.542,    97.032,     26.73,  1001.654,    96.995,    0.5812,   -0.6197,   -0.3054,    0.4300,   -87.352,    10.245,    63.199,     0.000,     0.000,     0.000,         0, idle,     0.000,     0.000,     0.057,     0.057, 2649,  01
20:31:22.345,  12171139,    -0.010,    -0.057,     0.000,     0.058,    -1.756,    -9.700,     0.440,     9.867,     0.000,     0.000,     0.000,     0.000,    24.321,    83.990,   -41.542,    96.807,     26.73,  1001.654,    96.995,    0.5812,   -0.6197,   -0.3054,    0.4300,   -87.352,    10.245,    63.199,     0.000,     0.000,     0.000,         0, idle,     0.000,     0.000,     0.057,     0.057, 2650,  01
20:31:22.375,  12171172,    -0.010,    -0.057,     0.000,     0.058,    -1.756,    -9.700,     0.440,     9.867,     0.000,     0.000,     0.000,     0.000,    24.170,    83.688,   -41.391,    96.442,     26.73,  1001.654,    96.995,    0.5812,   -0.6197,   -0.3054,    0.4300,   -87.352,    10.245,    63.199,     0.000,     0.000,     0.000,         0, idle,     0.000,     0.000,     0.057,     0.057, 2652,  01
20:31:22.405,  12171205,    -0.010,    -0.057,     0.000,     0.058,    -1.756,    -9.700,     0.440,     9.867,     0.000,     0.000,     0.000,     0.000,    24.170,    83.990,   -41.391,    96.705,     26.73,  1001.654,    96.995,    0.5812,   -0.6197,   -0.3054,    0.4300,   -87.358,    10.245,    63.199,     0.000,     0.000,     0.000,         0, idle,     0.000,     0.000,     0.057,     0.057, 2652,  01
20:31:22.435,  12171238,    -0.010,    -0.057,     0.000,     0.058,    -1.756,    -9.700,     0.440,     9.867,     0.000,     0.000,     0.000,     0.000,    24.170,    83.839,   -41.542,    96.638,     26.73,  1001.654,    96.995,    0.5812,   -0.6197,   -0.3054,    0.4300,   -87.358,    10.245,    63.199,     0.000,     0.000,     0.000,         0, idle,     0.000,     0.000,     0.057,     0.057, 2649,  01
20:31:22.480,  12171271,    -0.010,    -0.057,     0.000,     0.058,    -1.756,    -9.700,     0.440,     9.867,     0.000,     0.000,     0.000,     0.000,    24.019,    83.537,   -41.240,    96.209,     26.72,  1001.654,    96.995,    0.5811,   -0.6197,   -0.3054,    0.4300,   -87.358,    10.250,    63.199,     0.000,     0.000,     0.000,         0, idle,     0.000,     0.000,     0.057,     0.057, 2643,  01
20:31:22.510,  12171304,    -0.010,    -0.057,     0.000,     0.058,    -1.756,    -9.700,     0.440,     9.867,     0.000,     0.000,     0.000,     0.000,    23.868,    83.386,   -41.240,    96.040,     26.72,  1001.654,    96.995,    0.5811,   -0.6197,   -0.3054,    0.4300,   -87.358,    10.250,    63.199,     0.000,     0.000,     0.000,         0, idle,     0.000,     0.000,     0.057,     0.057, 2643,  01
20:31:22.540,  12171337,    -0.010,    -0.057,     0.000,     0.058,    -1.756,    -9.700,     0.440,     9.867,     0.000,     0.000,     0.000,     0.000,    24.019,    83.688,   -41.391,    96.405,     26.73,  1001.654,    96.995,    0.5811,   -0.6197,   -0.3054,    0.4300,   -87.358,    10.250,    63.199,     0.000,     0.000,     0.000,         0, idle,     0.000,     0.000,     0.057,     0.057, 2643,  01
20:31:22.569,  12171370,    -0.010,    -0.057,     0.000,     0.058,    -1.756,    -9.700,     0.440,     9.867,     0.000,     0.000,     0.000,     0.000,    24.170,    83.990,   -41.391,    96.705,     26.73,  1001.654,    96.995,    0.5811,   -0.6198,   -0.3054,    0.4300,   -87.363,    10.250,    63.199,     0.000,     0.000,     0.000,         0, idle,     0.000,    -0.005,     0.057,     0.058, 2643,  01
20:31:22.600,  12171403,    -0.010,    -0.057,     0.000,     0.058,    -1.756,    -9.700,     0.440,     9.867,     0.000,     0.000,     0.000,     0.000,    23.566,    83.990,   -41.391,    96.555,     26.73,  1001.654,    96.995,    0.5811,   -0.6198,   -0.3054,    0.4300,   -87.363,    10.250,    63.199,     0.000,     0.000,     0.000,         0, idle,     0.000,    -0.005,     0.057,     0.058, 2643,  01
