        time, timestamp,  aX(m/s²),  aY(m/s²),  aZ(m/s²), |a|(m/s²),  Ax(m/s²),  Ay(m/s²),  Az(m/s²), |A|(m/s²),   Gx(°/s),   Gy(°/s),   Gz(°/s),G_abs(°/s),  MagX(uT),  MagY(uT),  MagZ(uT),Mag_abs(uT), THE(°C),Pressure(hPa),height(m),        w,         x,         y,         z, angleX(°), angleY(°), angleZ(°),offsetX(m),offsetY(m),offsetZ(m),     steps,state, asX(m/s²), asY(m/s²), asZ(m/s²),|as|(m/s²), ADC1,GPIO
20:31:48.715,  12197506,    -0.010,    -0.062,     0.000,     0.063,    -1.771,    -9.695,     0.450,     9.865,     0.000,     0.000,     0.000,     0.000,    24.321,    83.537,   -41.542,    96.414,     26.82,  1001.676,    96.810,    0.5810,   -0.6198,   -0.3047,    0.4306,   -87.314,    10.349,    63.210,     0.000,     0.000,     0.000,         0, idle,     0.000,     0.000,     0.062,     0.062, 2655,  01
20:31:48.745,  12197539,    -0.010,    -0.057,     0.000,     0.058,    -1.771,    -9.695,     0.450,     9.865,     0.000,     0.000,     0.000,     0.000,    24.170,    83.688,   -41.542,    96.507,     26.82,  1001.676,    96.810,    0.5810,   -0.6198,   -0.3047,    0.4306,   -87.314,    10.349,    63.210,     0.000,     0.000,     0.000,         0, idle,     0.000,     0.000,     0.062,     0.062, 2656,  01
20:31:48.775,  12197572,    -0.010,    -0.057,     0.000,     0.058,    -1.771,    -9.695,     0.450,     9.865,     0.000,     0.000,     0.000,     0.000,    24.321,    83.084,   -41.542,    96.022,     26.82,  1001.676,    96.810,    0.5810,   -0.6198,   -0.3047,    0.4306,   -87.314,    10.349,    63.210,     0.000,     0.000,     0.000,         0, idle,     0.000,     0.000,     0.062,     0.062, 2658,  01
20:31:48.805,  12197605,    -0.010,    -0.062,     0.000,     0.063,    -1.771,    -9.695,     0.450,     9.865,     0.000,     0.000,     0.000,     0.000,    24.321,    83.688,   -41.542,    96.545,     26.82,  1001.676,    96.810,    0.5810,   -0.6198,   -0.3047,    0.4306,   -87.314,    10.349,    63.210,     0.000,     0.000,     0.000,         0, idle,     0.000,     0.000,     0.062,     0.062, 2658,  01
20:31:48.835,  12197638,    -0.010,    -0.062,     0.000,     0.063,    -1.771,    -9.695,     0.450,     9.865,     0.000,     0.000,     0.000,     0.000,    23.868,    83.990,   -41.693,    96.759,     26.82,  1001.676,    96.810,    0.5810,   -0.6198,   -0.3047,    0.4306,   -87.319,    10.349,    63.210,     0.000,     0.000,     0.000,         0, idle,     0.000,     0.000,     0.062,     0.062, 2658,  01
20:31:48.880,  12197671,    -0.010,    -0.062,     0.000,     0.063,    -1.771,    -9.695,     0.450,     9.865,     0.000,     0.000,     0.000,     0.000,    24.019,    83.688,   -41.693,    96.535,     26.82,  1001.676,    96.810,    0.5810,   -0.6198,   -0.3047,    0.4306,   -87.319,    10.349,    63.210,     0.000,     0.000,     0.000,         0, idle,     0.000,     0.000,     0.062,     0.062, 2656,  01
20:31:48.910,  12197704,    -0.005,    -0.057,     0.000,     0.058,    -1.771,    -9.695,     0.455,     9.866,     0.000,     0.000,     0.000,     0.000,    23.868,    83.688,   -41.693,    96.497,     26.82,  1001.676,    96.810,    0.5810,   -0.6198,   -0.3047,    0.4306,   -87.319,    10.344,    63.210,     0.000,     0.000,     0.000,         0, idle,     0.000,     0.000,     0.062,     0.062, 2657,  01
20:31:48.940,  12197737,    -0.005,    -0.057,     0.005,     0.058,    -1.766,    -9.695,     0.455,     9.865,     0.000,     0.000,     0.000,     0.000,    24.019,    83.990,   -41.542,    96.732,     26.82,  1001.676,    96.810,    0.5810,   -0.6198,   -0.3047,    0.4306,   -87.314,    10.344,    63.210,     0.000,     0.000,     0.000,         0, idle,     0.000,     0.000,     0.062,     0.062, 2658,  01
20:31:48.970,  12197770,    -0.010,    -0.057,     0.005,     0.058,    -1.771,    -9.695,     0.455,     9.866,     0.000,     0.000,     0.000,     0.000,    23.717,    83.990,   -41.542,    96.657,     26.82,  1001.676,    96.810,    0.5810,   -0.6198,   -0.3047,    0.4306,   -87.314,    10.344,    63.210,     0.000,     0.000,     0.000,         0, idle,     0.000,     0.000,     0.062,     0.062, 2658,  01
20:31:49.000,  12197803,    -0.100,    -0.086,    -0.182,     0.225,    -1.861,    -9.723,     0.263,     9.904,     0.854,    -0.305,    -0.732,     1.166,    23.566,    84.293,   -41.542,    96.883,     26.82,  1001.676,    96.807,    0.5810,   -0.6197,   -0.3048,    0.4306,   -87.314,    10.338,    63.210,     0.000,     0.000,     0.000,         0, idle,     0.129,    -0.158,     0.091,     0.223, 2655,  01
20:31:49.045,  12197836,    -0.110,    -0.072,    -0.206,     0.244,    -1.866,    -9.709,     0.244,     9.890,     2.075,    -0.244,    -1.343,     2.484,    23.264,    83.990,   -41.240,    96.417,     26.82,  1001.678,    96.786,    0.5813,   -0.6194,   -0.3048,    0.4306,   -87.281,    10.311,    63.215,     0.000,     0.000,     0.000,         0, idle,     0.144,    -0.182,     0.077,     0.244, 2658,  01
20:31:49.075,  12197869,     0.211,     0.005,     0.263,     0.337,    -1.531,    -9.633,     0.737,     9.781,     2.258,    -0.061,    -1.282,     2.597,    23.717,    84.142,   -41.844,    96.919,     26.82,  1001.678,    96.789,    0.5819,   -0.6189,   -0.3049,    0.4305,   -87.193,    10.250,    63.221,     0.000,     0.000,     0.000,         0, idle,    -0.139,     0.306,    -0.029,     0.337, 2658,  01
20:31:49.105,  12197902,     0.029,    -0.005,     0.163,     0.165,    -1.708,    -9.647,     0.646,     9.818,    -0.183,    -0.183,    -0.122,     0.286,    24.019,    84.746,   -41.542,    97.388,     26.82,  1001.677,    96.793,    0.5824,   -0.6184,   -0.3049,    0.4305,   -87.138,    10.217,    63.226,     0.000,     0.000,     0.000,         0, idle,    -0.129,     0.100,     0.010,     0.164, 2658,  01
20:31:49.135,  12197935,     0.024,     0.014,     0.048,     0.055,    -1.713,    -9.623,     0.526,     9.788,    -0.305,    -0.366,    -0.305,     0.566,    24.019,    84.293,   -41.542,    96.994,     26.82,  1001.677,    96.793,    0.5823,   -0.6184,   -0.3050,    0.4305,   -87.144,    10.206,    63.232,     0.000,     0.000,     0.000,         0, idle,    -0.033,     0.038,    -0.014,     0.053, 2659,  01
20:31:49.165,  12197968,     0.005,     0.014,     0.177,     0.178,    -1.727,    -9.623,     0.656,     9.799,    -1.221,    -0.549,    -0.366,     1.388,    24.170,    83.839,   -41.542,    96.638,     26.82,  1001.677,    96.793,    0.5823,   -0.6184,   -0.3053,    0.4305,   -87.155,    10.190,    63.248,     0.000,     0.000,     0.000,         0, idle,    -0.153,     0.086,    -0.005,     0.176, 2659,  01
20:31:49.210,  12198001,     0.014,    -0.033,     0.129,     0.134,    -1.713,    -9.676,     0.603,     9.845,    -2.197,    -0.183,    -0.427,     2.246,    24.019,    83.839,   -41.391,    96.536,     26.82,  1001.677,    96.793,    0.5821,   -0.6185,   -0.3056,    0.4303,   -87.198,    10.168,    63.259,     0.000,     0.000,     0.000,         0, idle,    -0.105,     0.081,     0.033,     0.137, 2656,  01
20:31:49.240,  12198034,    -0.014,    -0.029,     0.086,     0.092,    -1.747,    -9.671,     0.541,     9.842,    -3.296,    -0.671,    -0.549,     3.408,    23.868,    83.688,   -41.391,    96.367,     26.82,  1001.677,    96.793,    0.5816,   -0.6189,   -0.3061,    0.4301,   -87.292,    10.151,    63.281,     0.000,     0.000,     0.000,         0, idle,    -0.081,     0.024,     0.033,     0.091, 2655,  01
20:31:49.270,  12198067,     0.244,     0.024,     0.373,     0.447,    -1.483,    -9.618,     0.809,     9.765,    -6.104,    -0.854,     1.160,     6.271,    24.019,    83.688,   -41.542,    96.470,     26.82,  1001.678,    96.789,    0.5808,   -0.6194,   -0.3068,    0.4299,   -87.418,    10.146,    63.314,     0.000,     0.000,     0.000,         0, idle,    -0.225,     0.378,    -0.048,     0.442, 2655,  01
20:31:49.300,  12198100,     0.067,     0.043,     0.005,     0.080,    -1.665,    -9.599,     0.407,     9.751,    -6.775,    -0.916,     1.709,     7.047,    24.170,    84.142,   -41.391,    96.836,     26.82,  1001.678,    96.789,    0.5796,   -0.6203,   -0.3075,    0.4298,   -87.599,    10.179,    63.347,     0.000,     0.000,     0.000,         0, idle,     0.019,     0.053,    -0.053,     0.077, 2655,  01
20:31:49.330,  12198133,     0.196,    -0.010,     0.297,     0.356,    -1.546,    -9.656,     0.660,     9.802,    -8.057,    -1.099,     2.380,     8.472,    24.019,    83.235,   -41.240,    95.947,     26.82,  1001.677,    96.799,    0.5779,   -0.6216,   -0.3083,    0.4297,   -87.836,    10.245,    63.391,     0.000,     0.000,     0.000,         0, idle,    -0.172,     0.311,    -0.010,     0.356, 2655,  01
20:31:49.375,  12198166,    -0.024,    -0.234,    -0.033,     0.238,    -1.785,    -9.877,     0.282,    10.041,    -8.606,    -0.854,     2.869,     9.112,    24.019,    83.688,   -40.787,    96.147,     26.82,  1001.677,    96.799,    0.5761,   -0.6229,   -0.3090,    0.4296,   -88.077,    10.322,    63.430,     0.000,     0.000,     0.000,         0, idle,     0.043,    -0.005,     0.230,     0.234, 2655,  01
20:31:49.405,  12198199,    -0.359,    -0.182,    -0.306,     0.506,    -2.134,    -9.824,    -0.029,    10.053,    -5.798,    -1.892,     1.099,     6.197,    23.717,    84.142,   -40.787,    96.467,     26.82,  1001.677,    96.799,    0.5741,   -0.6245,   -0.3097,    0.4296,   -88.352,    10.421,    63.479,     0.000,     0.000,     0.000,         0, idle,     0.134,    -0.426,     0.234,     0.504, 2655,  01
20:31:49.435,  12198232,     0.134,    -0.110,     0.024,     0.175,    -1.641,    -9.752,     0.268,     9.893,    -4.639,    -1.709,     0.916,     5.028,    24.170,    84.444,   -40.636,    96.779,     26.82,  1001.677,    96.799,    0.5727,   -0.6253,   -0.3106,    0.4295,   -88.539,    10.448,    63.545,     0.000,     0.000,     0.000,         0, idle,     0.048,     0.148,     0.081,     0.176, 2647,  01
20:31:49.480,  12198265,     0.550,    -0.014,     0.440,     0.705,    -1.230,    -9.656,     0.665,     9.757,    -5.493,    -0.244,     3.357,     6.442,    24.019,    84.595,   -40.485,    96.810,     26.82,  1001.677,    96.799,    0.5718,   -0.6259,   -0.3111,    0.4295,   -88.660,    10.475,    63.578,     0.000,     0.000,     0.000,         0, idle,    -0.148,     0.684,    -0.072,     0.704, 2649,  01
20:31:49.495,  12198298,     0.287,    -0.029,     0.263,     0.391,    -1.522,    -9.666,     0.455,     9.796,    -7.690,     1.160,     7.385,    10.725,    24.019,    84.595,   -40.183,    96.684,     26.82,  1001.677,    96.799,    0.5702,   -0.6274,   -0.3108,    0.4297,   -88.863,    10.640,    63.567,     0.000,     0.000,     0.000,         0, idle,    -0.105,     0.378,    -0.014,     0.393, 2649,  01
20:31:49.540,  12198331,    -0.249,    -0.062,    -0.100,     0.275,    -2.101,    -9.695,     0.043,     9.920,    -8.545,     0.854,     6.836,    10.976,    24.321,    84.595,   -39.880,    96.634,     26.82,  1001.677,    96.799,    0.5681,   -0.6293,   -0.3104,    0.4300,   -89.110,    10.865,    63.539,     0.000,     0.000,     0.000,         0, idle,    -0.010,    -0.254,     0.110,     0.277, 2647,  01
20:31:49.570,  12198364,    -0.349,    -0.153,    -0.278,     0.472,    -2.239,    -9.776,    -0.177,    10.031,    -6.531,     0.366,     3.784,     7.557,    24.170,    84.746,   -39.578,    96.605,     26.82,  1001.677,    96.793,    0.5657,   -0.6315,   -0.3101,    0.4301,   -89.412,    11.085,    63.506,     0.000,     0.000,     0.001,         0, idle,     0.105,    -0.407,     0.215,     0.472, 2646,  01
