        time, timestamp,  aX(m/s²),  aY(m/s²),  aZ(m/s²), |a|(m/s²),  Ax(m/s²),  Ay(m/s²),  Az(m/s²), |A|(m/s²),   Gx(°/s),   Gy(°/s),   Gz(°/s),G_abs(°/s),  MagX(uT),  MagY(uT),  MagZ(uT),Mag_abs(uT), THE(°C),Pressure(hPa),height(m),        w,         x,         y,         z, angleX(°), angleY(°), angleZ(°),offsetX(m),offsetY(m),offsetZ(m),     steps,state, asX(m/s²), asY(m/s²), asZ(m/s²),|as|(m/s²), ADC1,GPIO
20:32:20.824,    596861,    -0.081,     0.005,     0.048,     0.094,    -0.211,    -0.057,     9.853,     9.855,    -0.061,    -0.549,     0.000,     0.553,     0.755,   139.128,    97.888,   170.116,     25.16,  1001.869,    95.189,    0.9977,   -0.0038,    0.0062,    0.0675,    -0.385,     0.736,     7.734,     0.000,     0.000,     0.000,         0, idle,    -0.081,     0.000,     0.048,     0.094, 2734,  01
20:32:20.853,    596894,    -0.077,     0.005,     0.057,     0.096,    -0.201,    -0.057,     9.862,     9.864,     0.000,    -0.488,    -0.061,     0.492,     0.755,   138.977,    97.888,   169.992,     25.16,  1001.869,    95.189,    0.9977,   -0.0038,    0.0061,    0.0675,    -0.385,     0.725,     7.734,     0.000,     0.000,     0.000,         0, idle,    -0.072,     0.000,     0.057,     0.092, 2736,  01
20:32:20.899,    596927,    -0.086,     0.000,     0.048,     0.099,    -0.211,    -0.067,     9.853,     9.855,     0.000,    -0.549,     0.000,     0.549,     0.755,   138.826,    98.190,   170.043,     25.16,  1001.869,    95.189,    0.9977,   -0.0038,    0.0060,    0.0675,    -0.385,     0.714,     7.734,     0.000,     0.000,     0.000,         0, idle,    -0.081,    -0.010,     0.048,     0.095, 2737,  01
20:32:20.929,    596960,    -0.077,    -0.005,     0.062,     0.099,    -0.201,    -0.067,     9.872,     9.874,     0.000,    -0.488,     0.061,     0.492,     0.604,   138.524,    98.190,   169.796,     25.16,  1001.869,    95.189,    0.9977,   -0.0038,    0.0059,    0.0675,    -0.385,     0.703,     7.734,     0.000,     0.000,     0.000,         0, idle,    -0.077,    -0.014,     0.062,     0.100, 2748,  01
20:32:20.959,    596993,    -0.081,     0.000,     0.038,     0.090,    -0.206,    -0.067,     9.843,     9.845,     0.000,    -0.427,     0.000,     0.427,     0.755,   138.524,    98.190,   169.796,     25.16,  1001.869,    95.189,    0.9977,   -0.0038,    0.0059,    0.0675,    -0.385,     0.698,     7.734,     0.000,     0.000,     0.000,         0, idle,    -0.081,    -0.010,     0.038,     0.090, 2769,  01
20:32:20.988,    597026,    -0.081,     0.010,     0.053,     0.097,    -0.201,    -0.053,     9.857,     9.860,     0.000,    -0.427,     0.061,     0.432,     0.604,   138.675,    98.190,   169.919,     25.16,  1001.869,    95.189,    0.9977,   -0.0038,    0.0058,    0.0675,    -0.385,     0.692,     7.734,     0.000,     0.000,     0.000,         0, idle,    -0.081,     0.000,     0.053,     0.097, 2737,  01
20:32:21.033,    597059,    -0.091,     0.000,     0.048,     0.103,    -0.211,    -0.067,     9.853,     9.855,    -0.061,    -0.305,    -0.061,     0.317,     0.906,   138.524,    98.341,   169.884,     25.16,  1001.869,    95.189,    0.9977,   -0.0038,    0.0058,    0.0675,    -0.385,     0.692,     7.734,     0.000,     0.000,     0.000,         0, idle,    -0.086,    -0.010,     0.048,     0.099, 2737,  01
20:32:21.079,    597092,    -0.091,     0.000,     0.053,     0.105,    -0.211,    -0.067,     9.857,     9.860,     0.000,    -0.793,     0.000,     0.793,     0.604,   138.222,    98.190,   169.549,     25.16,  1001.869,    95.193,    0.9977,   -0.0038,    0.0057,    0.0675,    -0.385,     0.676,     7.740,     0.000,     0.000,     0.000,         0, idle,    -0.091,    -0.010,     0.053,     0.105, 2735,  01
20:32:21.094,    597125,    -0.091,     0.000,     0.048,     0.103,    -0.211,    -0.062,     9.853,     9.855,     0.000,     0.000,     0.000,     0.000,     0.604,   138.373,    98.190,   169.672,     25.16,  1001.869,    95.193,    0.9977,   -0.0038,    0.0056,    0.0675,    -0.390,     0.670,     7.734,     0.000,     0.000,     0.000,         0, idle,    -0.091,    -0.005,     0.048,     0.103, 2736,  01
20:32:21.139,    597158,    -0.086,     0.000,     0.048,     0.099,    -0.206,    -0.062,     9.853,     9.855,     0.000,     0.000,     0.000,     0.000,     0.604,   138.373,    98.492,   169.848,     25.16,  1001.869,    95.193,    0.9977,   -0.0038,    0.0059,    0.0675,    -0.385,     0.703,     7.734,     0.000,     0.000,     0.000,         0, idle,    -0.086,    -0.005,     0.048,     0.099, 2730,  01
20:32:21.156,    597191,    -0.081,     0.000,     0.048,     0.094,    -0.206,    -0.062,     9.853,     9.855,     0.000,     0.000,     0.000,     0.000,     0.604,   138.373,    98.492,   169.848,     25.16,  1001.869,    95.193,    0.9977,   -0.0038,    0.0061,    0.0675,    -0.385,     0.725,     7.734,     0.000,     0.000,     0.000,         0, idle,    -0.081,    -0.005,     0.048,     0.094, 2716,  01
20:32:21.184,    597224,    -0.077,     0.000,     0.048,     0.090,    -0.206,    -0.062,     9.853,     9.855,     0.000,     0.000,     0.000,     0.000,     0.755,   138.524,    98.492,   169.971,     25.16,  1001.869,    95.193,    0.9977,   -0.0038,    0.0063,    0.0675,    -0.385,     0.747,     7.734,     0.000,     0.000,     0.000,         0, idle,    -0.077,    -0.005,     0.048,     0.090, 2725,  01
20:32:21.229,    597257,    -0.077,     0.000,     0.048,     0.090,    -0.206,    -0.062,     9.853,     9.855,     0.000,     0.000,     0.000,     0.000,     0.755,   138.524,    98.492,   169.971,     25.16,  1001.869,    95.193,    0.9977,   -0.0038,    0.0065,    0.0675,    -0.385,     0.775,     7.734,     0.000,     0.000,     0.000,         0, idle,    -0.072,    -0.005,     0.048,     0.086, 2728,  01
20:32:21.259,    597290,    -0.072,     0.000,     0.048,     0.086,    -0.206,    -0.062,     9.853,     9.855,     0.000,     0.000,     0.000,     0.000,     0.755,   138.373,    98.039,   169.586,     25.17,  1001.869,    95.193,    0.9977,   -0.0038,    0.0067,    0.0675,    -0.379,     0.797,     7.734,     0.000,     0.000,     0.000,         0, idle,    -0.072,    -0.005,     0.048,     0.086, 2732,  01
20:32:21.289,    597323,    -0.067,     0.000,     0.048,     0.082,    -0.206,    -0.062,     9.853,     9.855,     0.000,     0.000,     0.000,     0.000,     0.755,   138.373,    98.190,   169.673,     25.16,  1001.869,    95.193,    0.9977,   -0.0038,    0.0069,    0.0675,    -0.379,     0.813,     7.734,     0.000,     0.000,     0.000,         0, idle,    -0.067,    -0.005,     0.048,     0.082, 2733,  01
20:32:21.319,    597356,    -0.062,     0.000,     0.048,     0.078,    -0.206,    -0.062,     9.853,     9.855,     0.000,     0.000,     0.000,     0.000,     0.604,   138.524,    98.341,   169.883,     25.16,  1001.869,    95.193,    0.9977,   -0.0038,    0.0070,    0.0675,    -0.379,     0.835,     7.734,     0.000,     0.000,     0.000,         0, idle,    -0.062,    -0.005,     0.048,     0.079, 2732,  01
20:32:21.349,    597389,    -0.062,     0.000,     0.048,     0.078,    -0.206,    -0.062,     9.853,     9.855,     0.000,     0.000,     0.000,     0.000,     0.755,   138.373,    98.341,   169.761,     25.16,  1001.869,    95.193,    0.9977,   -0.0038,    0.0072,    0.0675,    -0.379,     0.851,     7.734,     0.000,     0.000,     0.000,         0, idle,    -0.057,    -0.005,     0.048,     0.075, 2734,  01
20:32:21.394,    597422,    -0.057,     0.000,     0.048,     0.075,    -0.206,    -0.062,     9.853,     9.855,     0.000,     0.000,     0.000,     0.000,     0.906,   138.373,    98.341,   169.761,     25.17,  1001.869,    95.193,    0.9977,   -0.0038,    0.0074,    0.0675,    -0.379,     0.868,     7.734,     0.000,     0.000,     0.000,         0, idle,    -0.057,    -0.005,     0.048,     0.075, 2737,  01
20:32:21.424,    597455,    -0.053,     0.000,     0.048,     0.071,    -0.206,    -0.062,     9.853,     9.855,     0.000,     0.000,     0.000,     0.000,     0.906,   138.524,    98.341,   169.884,     25.17,  1001.869,    95.193,    0.9977,   -0.0038,    0.0075,    0.0675,    -0.379,     0.884,     7.734,     0.000,     0.000,     0.000,         0, idle,    -0.053,    -0.005,     0.048,     0.071, 2740,  01
20:32:21.454,    597488,    -0.053,     0.000,     0.048,     0.071,    -0.206,    -0.062,     9.853,     9.855,     0.000,     0.000,     0.000,     0.000,     1.057,   138.675,    98.341,   170.009,     25.16,  1001.869,    95.195,    0.9977,   -0.0038,    0.0076,    0.0675,    -0.379,     0.901,     7.734,     0.000,     0.000,     0.000,         0, idle,    -0.053,    -0.005,     0.048,     0.071, 2738,  01
20:32:21.483,    597521,    -0.048,     0.000,     0.048,     0.068,    -0.206,    -0.062,     9.853,     9.855,     0.000,     0.000,     0.000,     0.000,     1.057,   138.524,    98.341,   169.885,     25.16,  1001.869,    95.195,    0.9977,   -0.0038,    0.0078,    0.0675,    -0.374,     0.917,     7.734,     0.000,     0.000,     0.000,         0, idle,    -0.048,    -0.005,     0.048,     0.068, 2737,  01
